epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.2096554934978485,0.12038915604352951,0.7905925512313843,1e-05,0.2395096868276596,0.9712328910827637,0.035171110183000565,0.017911437898874283,0.9648288488388062,0.0,0.0
1,0.37656736373901367,0.23390598595142365,0.6233667135238647,1e-05,0.8889384269714355,0.993763267993927,0.39980584383010864,0.2513512670993805,0.6001940369606018,0.940703809261322,0.9876872897148132
2,0.4235556423664093,0.2704387307167053,0.5763278603553772,1e-05,0.9282591938972473,0.9951373338699341,0.43982207775115967,0.283450186252594,0.5601780414581299,0.9357075691223145,0.9927008152008057
3,0.4544965922832489,0.29619359970092773,0.5452089309692383,1e-05,0.9393275380134583,0.9951316118240356,0.46092700958251953,0.30132704973220825,0.5390729904174805,0.8933147192001343,0.9982979893684387
4,0.48571884632110596,0.32289981842041016,0.5143016576766968,1e-05,0.9474623799324036,0.9950211048126221,0.47718170285224915,0.31562259793281555,0.5228183269500732,0.9872950911521912,0.9378373622894287
5,0.5147472023963928,0.34862107038497925,0.4851585328578949,1e-05,0.9526463747024536,0.9946628212928772,0.5205335021018982,0.3538360297679901,0.4794665277004242,0.970763087272644,0.9851368069648743
6,0.5410975813865662,0.3732622563838959,0.45896896719932556,1e-05,0.9576642513275146,0.9945598840713501,0.5527568459510803,0.38406622409820557,0.4472431242465973,0.9591996073722839,0.9929141998291016
7,0.5673155188560486,0.39838460087776184,0.432993620634079,1e-05,0.9622578024864197,0.9941882491111755,0.5785571336746216,0.40908581018447876,0.4214426875114441,0.9722797870635986,0.9876808524131775
8,0.5914928913116455,0.42259082198143005,0.4084364175796509,1e-05,0.9650604128837585,0.9938652515411377,0.6003000140190125,0.4309065341949463,0.39969995617866516,0.970068097114563,0.9867385625839233
9,0.6171190142631531,0.4486168920993805,0.3827568590641022,1e-05,0.9679549336433411,0.9936870336532593,0.6248960494995117,0.4566361606121063,0.3751043379306793,0.9738860130310059,0.9876949787139893
10,0.6399349570274353,0.4730798602104187,0.3600083589553833,1e-05,0.9702203869819641,0.9934869408607483,0.6490671634674072,0.4825357496738434,0.35093286633491516,0.9605953097343445,0.9935402870178223
