epoch,dice_coef,hausdorff,iou,loss,lr,precision,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision
0,0.6339254379272461,27.19171142578125,0.5018585920333862,0.36607447266578674,0.001,0.5181690454483032,0.26932746171951294,34.535865783691406,0.17908915877342224,0.7306724786758423,0.27196744084358215
1,0.7944719791412354,17.497270584106445,0.6950797438621521,0.2055286318063736,0.001,0.8124759793281555,0.3293663263320923,34.33063888549805,0.22539538145065308,0.670633852481842,0.32237979769706726
2,0.8558133244514465,13.791119575500488,0.7827492952346802,0.14418642222881317,0.001,0.8804858922958374,0.4536970853805542,33.863800048828125,0.33149582147598267,0.5463029742240906,0.3697034418582916
3,0.8738445043563843,12.495468139648438,0.8120137453079224,0.12615518271923065,0.001,0.8978902697563171,0.3027489483356476,29.501188278198242,0.2293214499950409,0.6972508430480957,0.5409154295921326
4,0.9064187407493591,11.378823280334473,0.8467618823051453,0.09358172118663788,0.001,0.9144284129142761,0.20569954812526703,29.71355438232422,0.15601040422916412,0.7943005561828613,0.6470078229904175
5,0.9374837279319763,9.744953155517578,0.8845935463905334,0.06251605600118637,0.001,0.9477277398109436,0.2839658558368683,29.5537109375,0.20633742213249207,0.7160339951515198,0.5769547820091248
6,0.94231778383255,9.301345825195312,0.8928356170654297,0.057682573795318604,0.001,0.9517658352851868,0.2491818368434906,29.486114501953125,0.19480271637439728,0.7508180737495422,0.603259265422821
7,0.9502188563346863,8.715910911560059,0.9063351154327393,0.049781184643507004,0.001,0.9562212228775024,0.2725817859172821,29.329242706298828,0.20686066150665283,0.7274184823036194,0.597116231918335
8,0.9681690335273743,6.881050109863281,0.9387901425361633,0.03183111175894737,0.000100000005,0.9723818302154541,0.2483244240283966,29.52330780029297,0.18523944914340973,0.7516757249832153,0.6108756065368652
9,0.9732854962348938,6.257728099822998,0.9482811093330383,0.026714300736784935,0.000100000005,0.9775167107582092,0.2503646910190582,29.512807846069336,0.19074305891990662,0.7496355772018433,0.6029021739959717
10,0.9752116799354553,5.99709939956665,0.9519138932228088,0.024789227172732353,0.000100000005,0.9795284271240234,0.23735311627388,29.598997116088867,0.17926430702209473,0.7626467943191528,0.6148492693901062
11,0.9763969779014587,5.850467205047607,0.9541445970535278,0.023602399975061417,0.000100000005,0.9807903170585632,0.23013365268707275,29.75169563293457,0.17136873304843903,0.7698664665222168,0.598818838596344
