epoch,dice_coef,hausdorff,iou,loss,lr,precision,recall,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision,val_recall
0,0.035014666616916656,254.2088623046875,0.01788303256034851,0.9649627208709717,0.001,0.01789480820298195,1.0,0.022304825484752655,255.10462951660156,0.01132701151072979,0.9776715636253357,0.011339087039232254,1.0
1,0.035046543926000595,254.22337341308594,0.0178971067070961,0.9649577140808105,0.001,0.017894810065627098,1.0,0.02228703536093235,255.03770446777344,0.011324500665068626,0.9776840209960938,0.011339089833199978,1.0
2,0.03502188250422478,254.2099609375,0.017885860055685043,0.964961051940918,0.001,0.017894795164465904,1.0,0.022299284115433693,255.07354736328125,0.011327332817018032,0.9776781797409058,0.011339094489812851,1.0
3,0.03504124656319618,254.20843505859375,0.017896372824907303,0.964962363243103,0.001,0.017894791439175606,1.0,0.02230050228536129,255.12594604492188,0.01132485456764698,0.9776716232299805,0.011339085176587105,1.0
4,0.035027116537094116,254.23394775390625,0.017885172739624977,0.9649542570114136,0.001,0.017894810065627098,1.0,0.022296197712421417,255.1090545654297,0.011323599144816399,0.9776738286018372,0.011339085176587105,1.0
5,0.03502253070473671,254.2139892578125,0.01788477785885334,0.9649581909179688,0.001,0.017894813790917397,1.0,0.02229200303554535,255.08462524414062,0.01132343802601099,0.9776774048805237,0.011339085176587105,1.0
6,0.03503980487585068,254.18475341796875,0.017897291108965874,0.9649643301963806,0.000100000005,0.017894800752401352,1.0,0.022296078503131866,255.1246337890625,0.011321603320538998,0.9776692986488342,0.011339087970554829,1.0
7,0.035013481974601746,254.19357299804688,0.017884347587823868,0.964966356754303,0.000100000005,0.017894791439175606,1.0,0.02231508307158947,255.16822814941406,0.011327622458338737,0.9776625037193298,0.01133908424526453,1.0
8,0.03501497954130173,254.21449279785156,0.01788349822163582,0.9649636745452881,0.000100000005,0.017894795164465904,1.0,0.022355612367391586,255.08338928222656,0.011354857124388218,0.9776754379272461,0.011339087039232254,1.0
9,0.03504161536693573,254.2193145751953,0.01789562962949276,0.9649600386619568,0.000100000005,0.0178948026150465,1.0,0.022307949140667915,255.16482543945312,0.011323695071041584,0.9776622653007507,0.011339089833199978,1.0
10,0.0350138358771801,254.20016479492188,0.017883336171507835,0.9649633169174194,0.000100000005,0.0178948026150465,1.0,0.022291921079158783,255.06991577148438,0.011325144208967686,0.9776808619499207,0.011339085176587105,1.0
11,0.03504190221428871,254.2147674560547,0.017893686890602112,0.9649555683135986,1.0000001e-05,0.017894811928272247,1.0,0.022303925827145576,255.14466857910156,0.011322826147079468,0.9776644706726074,0.011339087970554829,1.0
12,0.035020265728235245,254.21644592285156,0.01788415014743805,0.9649588465690613,1.0000001e-05,0.0178948026150465,1.0,0.02230929769575596,255.1524200439453,0.011326496489346027,0.9776660799980164,0.011339087039232254,1.0
13,0.03502415865659714,254.2396697998047,0.017883986234664917,0.9649542570114136,1.0000001e-05,0.01789480447769165,1.0,0.0222982969135046,255.1077117919922,0.011323824524879456,0.9776718616485596,0.011339080519974232,1.0
14,0.0350174643099308,254.2245330810547,0.017883265390992165,0.9649598598480225,1.0000001e-05,0.017894797027111053,1.0,0.02228630520403385,255.0111541748047,0.011326238512992859,0.9776887893676758,0.011339090764522552,1.0
15,0.03502139076590538,254.22244262695312,0.01788349822163582,0.9649564027786255,1.0000001e-05,0.017894797027111053,1.0,0.022396540269255638,255.06163024902344,0.011378356255590916,0.9776789546012878,0.011339089833199978,1.0
16,0.03501596674323082,254.20321655273438,0.017884138971567154,0.9649631977081299,1.0000001e-06,0.017894798889756203,1.0,0.022300882264971733,255.13967895507812,0.011323019862174988,0.9776678681373596,0.011339087039232254,1.0
17,0.03502409905195236,254.21893310546875,0.01788526587188244,0.9649572372436523,1.0000001e-06,0.017894798889756203,1.0,0.022300124168395996,255.10679626464844,0.011325047351419926,0.9776725172996521,0.011339085176587105,1.0
18,0.035017527639865875,254.19976806640625,0.01788446307182312,0.9649626612663269,1.0000001e-06,0.017894811928272247,1.0,0.022306974977254868,255.13650512695312,0.011325369589030743,0.9776663780212402,0.011339087970554829,1.0
19,0.03504056856036186,254.177978515625,0.01790042035281658,0.9649710059165955,1.0000001e-06,0.0178948026150465,1.0,0.022289646789431572,255.06442260742188,0.011323148384690285,0.9776793122291565,0.011339087039232254,1.0
20,0.03501759469509125,254.208984375,0.01788518577814102,0.9649640321731567,1.0000001e-06,0.017894811928272247,1.0,0.022288130596280098,255.08311462402344,0.011321603320538998,0.9776775240898132,0.011339089833199978,1.0
21,0.03502164036035538,254.20933532714844,0.01788589358329773,0.9649608731269836,1.0000001e-07,0.0178948026150465,1.0,0.022284390404820442,255.0578155517578,0.011322054080665112,0.97768235206604,0.011339090764522552,1.0
22,0.03502444177865982,254.21743774414062,0.017886940389871597,0.9649600386619568,1.0000001e-07,0.017894795164465904,1.0,0.022289732471108437,255.06788635253906,0.011323405429720879,0.9776798486709595,0.011339087039232254,1.0
23,0.035013310611248016,254.20211791992188,0.017883986234664917,0.9649656414985657,1.0000001e-07,0.017894797027111053,1.0,0.022300248965620995,255.06845092773438,0.01132887788116932,0.9776797890663147,0.011339087039232254,1.0
24,0.03501538187265396,254.20211791992188,0.01788301020860672,0.9649614691734314,1.0000001e-07,0.017894787713885307,1.0,0.02230597473680973,255.12159729003906,0.01132607739418745,0.9776687622070312,0.011339085176587105,1.0
