epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.13978806138038635,0.07615814357995987,0.029375778511166573,0.01,0.546179473400116,0.8276211619377136,0.039573341608047485,0.020219843834638596,0.03235665708780289,0.0,0.0
1,0.24380385875701904,0.13993798196315765,0.003741341410204768,0.01,0.9433295726776123,0.9171637296676636,0.05175989493727684,0.026626581326127052,0.03322136029601097,1.0,1.4433674550673459e-05
2,0.3196018636226654,0.1913544088602066,0.0018496804405003786,0.01,0.9618825316429138,0.9524339437484741,0.1838115155696869,0.10152187943458557,0.5087073445320129,0.14222803711891174,1.0
3,0.35846906900405884,0.2197369784116745,0.0017768106190487742,0.01,0.9612911343574524,0.9490761160850525,0.3182852566242218,0.1898851841688156,0.019215499982237816,0.5851237177848816,0.8591809272766113
4,0.4023246765136719,0.25334277749061584,0.0011498999083414674,0.01,0.9703533053398132,0.9638053178787231,0.37636229395866394,0.23249591886997223,0.0013709511840716004,0.9920099973678589,0.9131690859794617
5,0.44707751274108887,0.2895604372024536,0.0009146540542133152,0.01,0.9749534726142883,0.9701099395751953,0.4545918405056,0.29497069120407104,0.0015659386990591884,0.9254868626594543,0.9749616980552673
6,0.4801657795906067,0.3177280128002167,0.0007947409758344293,0.01,0.9765788316726685,0.9727126955986023,0.4824052155017853,0.31888991594314575,0.0011539929546415806,0.9494038224220276,0.9816733598709106
7,0.5094189047813416,0.34394294023513794,0.0007270867354236543,0.01,0.9781655073165894,0.9742781519889832,0.5137521028518677,0.3465680480003357,0.0012114362325519323,0.9422772526741028,0.9799351096153259
8,0.5349437594413757,0.36740633845329285,0.0007198937819339335,0.01,0.978040874004364,0.9738629460334778,0.5274516344070435,0.35916632413864136,0.0007320029544644058,0.9777286648750305,0.9692109227180481
9,0.5380839705467224,0.370551198720932,0.0010832699481397867,0.01,0.9705178737640381,0.9611032009124756,0.5228050947189331,0.35505080223083496,0.0015227595577016473,0.9215130805969238,0.9800670742988586
10,0.5713309049606323,0.4020269513130188,0.000746236415579915,0.01,0.9767839312553406,0.9724569320678711,0.5694767832756042,0.39933115243911743,0.0013398847077041864,0.9341219663619995,0.9892840385437012
11,0.5993726253509521,0.4300549328327179,0.0006519650924019516,0.01,0.9789451360702515,0.975917637348175,0.595187246799469,0.4249339997768402,0.0010004170471802354,0.9409375786781311,0.9889994859695435
12,0.6200677156448364,0.45161035656929016,0.0006305737770162523,0.01,0.9795733690261841,0.9765139818191528,0.6379161477088928,0.4696752429008484,0.0018201982602477074,0.9183542728424072,0.9919852018356323
13,0.6400599479675293,0.47297433018684387,0.0006095298449508846,0.01,0.9799659252166748,0.9771490693092346,0.6331468224525452,0.4645143449306488,0.0007202292908914387,0.9660014510154724,0.9802073240280151
14,0.6513453722000122,0.4851638674736023,0.0005340364878065884,0.0009999999,0.9824388027191162,0.9804069399833679,0.6376554369926453,0.4691343903541565,0.0006880591390654445,0.9671039581298828,0.9824507236480713
15,0.6573682427406311,0.49172481894493103,0.0005099054542370141,0.0009999999,0.9825544953346252,0.9817236065864563,0.6450747847557068,0.4772869348526001,0.0007419554749503732,0.9622357487678528,0.9841559529304504
16,0.6615704298019409,0.4963735044002533,0.0005053228815086186,0.0009999999,0.9825679063796997,0.9820611476898193,0.6471295356750488,0.47933274507522583,0.0007327416678890586,0.9670169949531555,0.9802567958831787
17,0.6657248139381409,0.5011122822761536,0.0004993219627067447,0.0009999999,0.9828124046325684,0.9821575880050659,0.6575881242752075,0.490902841091156,0.0007765124319121242,0.9590268135070801,0.9857622385025024
18,0.6701412796974182,0.5061215162277222,0.0004948782152496278,0.0009999999,0.9829424023628235,0.982249915599823,0.6619495749473572,0.4959254264831543,0.0008084741421043873,0.9570668339729309,0.987514853477478
19,0.6730562448501587,0.5094059705734253,0.00047866301611065865,9.999999e-05,0.9833219051361084,0.9830061793327332,0.6631980538368225,0.4972859025001526,0.0007272631046362221,0.9618048667907715,0.9861684441566467
20,0.6738400459289551,0.5102106928825378,0.00047508932766504586,9.999999e-05,0.983490526676178,0.9830943942070007,0.6633095145225525,0.4973984956741333,0.0007215140503831208,0.9626722931861877,0.985694169998169
21,0.6748210191726685,0.5112574696540833,0.0004718876152765006,9.999999e-05,0.9836669564247131,0.9830520153045654,0.664943516254425,0.49921080470085144,0.0007436433807015419,0.9608585834503174,0.9860818386077881
22,0.6748558878898621,0.5115110278129578,0.0004722194862551987,9.999999e-05,0.9834234118461609,0.9833025336265564,0.6651962995529175,0.49936574697494507,0.0007451318670064211,0.9612171649932861,0.9860137701034546
23,0.6765117049217224,0.513229489326477,0.00047280456055887043,9.999999e-05,0.9834960699081421,0.983113169670105,0.6659358143806458,0.5004372596740723,0.000757031433749944,0.9601885676383972,0.9862653017044067
24,0.6770645976066589,0.5138205289840698,0.00046890685916878283,9.999999e-06,0.9830112457275391,0.9839176535606384,0.6665520071983337,0.5010584592819214,0.0007586819119751453,0.9602728486061096,0.9863519072532654
