epoch,dice_coef,hausdorff,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision_1,val_recall_1
0,0.15556254982948303,78.10211181640625,0.08738333731889725,0.8450342416763306,0.001,0.3077957332134247,0.9623957872390747,0.1869209110736847,31.1341495513916,0.10320889949798584,0.8131067752838135,0.21333637833595276,0.9952892065048218
1,0.7448660731315613,32.37632751464844,0.6086717844009399,0.2543753683567047,0.001,0.7466219663619995,0.8917252421379089,0.36159151792526245,20.596485137939453,0.22164690494537354,0.6390436887741089,0.35298314690589905,0.4481307864189148
2,0.8846259713172913,24.887271881103516,0.8019026517868042,0.11562089622020721,0.001,0.8775154948234558,0.9300140142440796,0.7489840984344482,13.984235763549805,0.6098591089248657,0.25133267045021057,0.8296555876731873,0.7504781484603882
3,0.9498130679130554,16.321794509887695,0.9068005084991455,0.05011333152651787,0.001,0.947843611240387,0.9629282355308533,0.9202300310134888,9.260750770568848,0.8535932898521423,0.07900016009807587,0.9049246907234192,0.9564350843429565
4,0.9497252106666565,15.532816886901855,0.9072846174240112,0.05032546818256378,0.001,0.9552285075187683,0.9581219553947449,0.35502636432647705,16.778125762939453,0.23282115161418915,0.6472110748291016,0.47679558396339417,0.304038405418396
5,0.959561288356781,14.43582534790039,0.923916757106781,0.040363043546676636,0.001,0.9536414742469788,0.9677547812461853,0.9515641331672668,6.830963611602783,0.9083278179168701,0.04848337173461914,0.9445526003837585,0.9671048521995544
6,0.9212787747383118,19.88590431213379,0.8653441071510315,0.07884889096021652,0.001,0.9110723733901978,0.9317730665206909,0.9327635169029236,8.207860946655273,0.8746123313903809,0.06748392432928085,0.8899675011634827,0.9892698526382446
7,0.9637479186058044,13.473251342773438,0.9309426546096802,0.03625861555337906,0.001,0.9610220193862915,0.9719937443733215,0.9390347599983215,8.499506950378418,0.8865195512771606,0.06127500161528587,0.9239539504051208,0.9633502960205078
8,0.9722437262535095,11.159106254577637,0.9462375640869141,0.027765396982431412,0.001,0.9699193239212036,0.9765395522117615,0.953961193561554,6.017528057098389,0.9145216345787048,0.046283427625894547,0.9321383833885193,0.9783483743667603
9,0.9751675724983215,10.379672050476074,0.9515861868858337,0.02480984479188919,0.001,0.9743707776069641,0.9778392314910889,0.9243904948234558,7.362707614898682,0.8674938678741455,0.07498959451913834,0.8915085196495056,0.9603104591369629
10,0.972486674785614,10.6897554397583,0.9468702673912048,0.027433354407548904,0.001,0.9748230576515198,0.9755808115005493,0.9109753966331482,10.594486236572266,0.8409990072250366,0.08969097584486008,0.8743655681610107,0.9537172913551331
11,0.9739804267883301,10.8508939743042,0.9493564367294312,0.026000116020441055,0.001,0.9739758968353271,0.9754752516746521,0.9658905267715454,5.979184150695801,0.9342053532600403,0.034121546894311905,0.964948832988739,0.9698830246925354
12,0.974497377872467,10.490283966064453,0.9503716826438904,0.025517543777823448,0.001,0.9732685685157776,0.9773389101028442,0.9623433351516724,6.375993728637695,0.9279299974441528,0.03764352574944496,0.9582433700561523,0.96924889087677
13,0.9733389019966125,11.227335929870605,0.9483748078346252,0.026687370613217354,0.001,0.9720324277877808,0.9754409790039062,0.9623934626579285,6.900925159454346,0.9279226660728455,0.037592463195323944,0.9510089159011841,0.9767882227897644
14,0.974872350692749,10.814677238464355,0.9510892033576965,0.025099538266658783,0.001,0.9740653038024902,0.976998507976532,0.9608244895935059,7.115529537200928,0.9250385761260986,0.038998156785964966,0.9493814706802368,0.97642582654953
15,0.9769232273101807,9.998617172241211,0.9549166560173035,0.023080898448824883,0.001,0.9761608839035034,0.9789857864379883,0.9601160883903503,7.568614482879639,0.9237241148948669,0.03959597274661064,0.9494927525520325,0.9732047319412231
16,0.9774481654167175,9.752408981323242,0.9559138417243958,0.022549912333488464,0.001,0.9775238037109375,0.9786830544471741,0.9625902771949768,6.346866130828857,0.9282896518707275,0.037498753517866135,0.9626817107200623,0.9646487832069397
17,0.9775751233100891,9.70953369140625,0.956165075302124,0.022419970482587814,0.000100000005,0.9779615998268127,0.9787136912345886,0.9663505554199219,6.167716979980469,0.9352256655693054,0.03304828330874443,0.963677167892456,0.9723491668701172
18,0.9779272079467773,9.573770523071289,0.9568282961845398,0.022049754858016968,0.000100000005,0.9777947664260864,0.9792882204055786,0.9684711694717407,6.060534477233887,0.9390169978141785,0.03140285983681679,0.9650872945785522,0.9738690853118896
19,0.9776092171669006,9.613024711608887,0.9562286734580994,0.022392692044377327,0.000100000005,0.9780921339988708,0.9787222743034363,0.970086395740509,5.546489715576172,0.9420557618141174,0.030018609017133713,0.9659683704376221,0.9751374125480652
20,0.977931797504425,9.628462791442871,0.9568399786949158,0.02205631509423256,0.000100000005,0.9779601097106934,0.9791558980941772,0.9675353765487671,5.995200157165527,0.9373054504394531,0.03248124569654465,0.966120719909668,0.9707788825035095
21,0.9778321385383606,9.724340438842773,0.9566497206687927,0.022149495780467987,0.000100000005,0.9780501127243042,0.9790210723876953,0.9690505266189575,5.642633438110352,0.9401235580444336,0.030956776812672615,0.9659779071807861,0.9731342792510986
22,0.9780368804931641,9.664131164550781,0.9570412039756775,0.021960576996207237,0.000100000005,0.9779321551322937,0.9794103503227234,0.9685336351394653,5.893571853637695,0.939146101474762,0.03150603175163269,0.9675675630569458,0.971161425113678
23,0.9782504439353943,9.580571174621582,0.9574456214904785,0.021734075620770454,0.000100000005,0.9782786965370178,0.9793080687522888,0.9676662683486938,6.158686637878418,0.9375447630882263,0.03245352581143379,0.9621162414550781,0.9747448563575745
24,0.9780688285827637,9.661761283874512,0.9571006298065186,0.021930431947112083,0.000100000005,0.9778664708137512,0.9795452952384949,0.9701216816902161,5.823012351989746,0.9420616030693054,0.02991444803774357,0.9688725471496582,0.9725102186203003
25,0.9779782295227051,9.446735382080078,0.9569236636161804,0.02201676554977894,0.000100000005,0.978409469127655,0.9789350628852844,0.9699649214744568,5.713971138000488,0.9417842626571655,0.03011564165353775,0.9694404006004333,0.9716848134994507
26,0.9779472351074219,9.724337577819824,0.9568827748298645,0.02204560674726963,0.000100000005,0.9778022766113281,0.9792218208312988,0.9693069458007812,5.641296863555908,0.9406061768531799,0.030705526471138,0.9683326482772827,0.9714030027389526
27,0.978019654750824,9.626301765441895,0.9570327997207642,0.021971572190523148,0.000100000005,0.9779191017150879,0.9794355630874634,0.9725657105445862,5.16270637512207,0.9466549158096313,0.027484247460961342,0.9738526940345764,0.9721176624298096
28,0.9779346585273743,9.56417465209961,0.9568633437156677,0.022070184350013733,0.000100000005,0.9781824946403503,0.9791706204414368,0.9724606871604919,5.256051540374756,0.946462094783783,0.027599064633250237,0.9728884100914001,0.9730940461158752
29,0.978294312953949,9.55008602142334,0.9575302600860596,0.02170611545443535,0.000100000005,0.9786075353622437,0.9791066646575928,0.971274733543396,5.069855690002441,0.9442088603973389,0.02869529463350773,0.9774631261825562,0.9665713906288147
30,0.9777892827987671,9.6749267578125,0.9565821886062622,0.022174835205078125,0.000100000005,0.9775194525718689,0.9793104529380798,0.9733172655105591,5.09389591217041,0.9480571150779724,0.026749061420559883,0.9765880703926086,0.9707587361335754
31,0.9785485863685608,9.390434265136719,0.9580208659172058,0.021442577242851257,0.000100000005,0.9787617325782776,0.9795557856559753,0.973559558391571,5.2841668128967285,0.9485084414482117,0.02633056230843067,0.9730549454689026,0.9752783179283142
32,0.9781917929649353,9.666537284851074,0.9573480486869812,0.02179948426783085,0.000100000005,0.9780938029289246,0.9794784784317017,0.9738165736198425,5.226377487182617,0.9490048885345459,0.02609621360898018,0.9711653590202332,0.9774022102355957
33,0.9781016111373901,9.636919021606445,0.9571729898452759,0.021902672946453094,0.000100000005,0.9779941439628601,0.9793656468391418,0.9737818241119385,4.94419527053833,0.9489264488220215,0.026180604472756386,0.9762797951698303,0.9719263911247253
34,0.9783946871757507,9.563891410827637,0.9577246308326721,0.021609114482998848,0.000100000005,0.978499710559845,0.9793477058410645,0.9738120436668396,4.95615816116333,0.9489884376525879,0.026187950745224953,0.9770435094833374,0.9712016582489014
35,0.97841876745224,9.342241287231445,0.9577715396881104,0.02158958837389946,0.000100000005,0.9785683155059814,0.9794849753379822,0.9732857346534729,5.126206398010254,0.9480056762695312,0.02659784071147442,0.9744631052017212,0.9733154773712158
36,0.9781802892684937,9.527825355529785,0.9573574066162109,0.02181500568985939,0.000100000005,0.9783105850219727,0.9791172742843628,0.9736579060554504,5.074488162994385,0.9486917853355408,0.026276282966136932,0.9731709361076355,0.9748656153678894
37,0.9784958362579346,9.485891342163086,0.9579203724861145,0.021502995863556862,0.000100000005,0.9787102937698364,0.9797857403755188,0.972949206829071,5.028680324554443,0.9473518133163452,0.027050459757447243,0.9789736270904541,0.967779278755188
38,0.9787333607673645,9.425765037536621,0.9583724141120911,0.02126397006213665,1.0000001e-05,0.9795956611633301,0.9791867136955261,0.9728657007217407,5.273941993713379,0.9472068548202515,0.027000389993190765,0.9752158522605896,0.9719666838645935
39,0.9789422750473022,9.284825325012207,0.9587697982788086,0.021052049472928047,1.0000001e-05,0.9788475632667542,0.9802262187004089,0.9734423160552979,4.976259708404541,0.94828861951828,0.02644185721874237,0.9751273989677429,0.972761869430542
40,0.9785119891166687,9.429369926452637,0.9579501748085022,0.02147195115685463,1.0000001e-05,0.9786328077316284,0.979816198348999,0.9732312560081482,5.107016563415527,0.947900116443634,0.02670838125050068,0.9751895070075989,0.9724900722503662
41,0.978813111782074,9.38412094116211,0.9585230946540833,0.02117743156850338,1.0000001e-05,0.9788487553596497,0.9798704981803894,0.9735047221183777,5.151998519897461,0.9484120607376099,0.026575259864330292,0.9748446941375732,0.9728625416755676
42,0.9785750508308411,9.462226867675781,0.9580686092376709,0.021430088207125664,1.0000001e-05,0.978605329990387,0.9797633290290833,0.9733667373657227,5.097833156585693,0.9481474757194519,0.026654573157429695,0.9753122329711914,0.9722787141799927
