epoch,dice_coef,hausdorff,iou,loss,lr,precision_3,recall_3,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision_3,val_recall_3
0,0.45637962222099304,48.53566360473633,0.3305751383304596,0.5436665415763855,0.001,0.31352436542510986,0.9019861817359924,0.47523781657218933,33.85939407348633,0.31450122594833374,0.5248597860336304,0.7311824560165405,0.3562319278717041
1,0.7202079892158508,28.031129837036133,0.5909107327461243,0.2797355353832245,0.001,0.6954454183578491,0.8683334589004517,0.5761080980300903,32.26090621948242,0.41017860174179077,0.4249083697795868,0.853529155254364,0.4251088798046112
2,0.8275225162506104,21.148012161254883,0.7325230836868286,0.17251138389110565,0.001,0.8396003842353821,0.8836007714271545,0.9256593585014343,15.84801959991455,0.8670612573623657,0.07391722500324249,0.9102108478546143,0.9454575181007385
3,0.9095662236213684,15.636372566223145,0.8458956480026245,0.09036551415920258,0.001,0.9189680814743042,0.939830482006073,0.8686009645462036,21.740964889526367,0.7707220315933228,0.1313215047121048,0.9227132797241211,0.8179529905319214
4,0.9457009434700012,12.629069328308105,0.900731086730957,0.054306238889694214,0.001,0.9418202042579651,0.9511697888374329,0.9682251811027527,10.551162719726562,0.9387204647064209,0.0319143608212471,0.986683189868927,0.9503105282783508
5,0.9466156363487244,12.011085510253906,0.902824878692627,0.05338439717888832,0.001,0.953643798828125,0.9587495923042297,0.9570766687393188,12.038008689880371,0.9194352626800537,0.04300514981150627,0.9640871286392212,0.9474419951438904
6,0.9616990685462952,10.625134468078613,0.9271183609962463,0.038302406668663025,0.001,0.962160587310791,0.9640508890151978,0.9641159176826477,11.563268661499023,0.9317353367805481,0.03591601178050041,0.9730842113494873,0.9529951810836792
7,0.9669339656829834,9.419285774230957,0.9367042183876038,0.033062830567359924,0.001,0.9664457440376282,0.9730151891708374,0.9745821356773376,8.770482063293457,0.9505305886268616,0.025506984442472458,0.973057746887207,0.9786902070045471
8,0.9694834351539612,9.051583290100098,0.941083550453186,0.03050248697400093,0.001,0.9719827771186829,0.9733570218086243,0.9752715229988098,8.656986236572266,0.9518332481384277,0.02480434812605381,0.9779993295669556,0.9744482636451721
9,0.969555675983429,9.089982986450195,0.9413828253746033,0.030438033863902092,0.001,0.9716891646385193,0.9734997749328613,0.9666599631309509,11.168066024780273,0.9360303282737732,0.0333973690867424,0.9903677701950073,0.9406802654266357
10,0.9699462652206421,8.99583625793457,0.9419378042221069,0.03004353679716587,0.001,0.9720591902732849,0.9729001522064209,0.9758737087249756,9.182047843933105,0.9530354142189026,0.024131979793310165,0.9827824831008911,0.9693006277084351
11,0.9712826013565063,8.89644718170166,0.9444206357002258,0.028718404471874237,0.001,0.9716453552246094,0.9747277498245239,0.9776594638824463,8.266227722167969,0.9563815593719482,0.022438030689954758,0.9776046276092529,0.9799014329910278
12,0.9725199937820435,8.616880416870117,0.9466847777366638,0.027470199391245842,0.001,0.9735231995582581,0.9762757420539856,0.9783435463905334,8.245216369628906,0.9576627016067505,0.02167581021785736,0.9810253977775574,0.9770734310150146
13,0.9721224904060364,8.702138900756836,0.9459628462791443,0.027871619910001755,0.001,0.9739211201667786,0.9743086695671082,0.9764096736907959,8.465408325195312,0.9540503025054932,0.023158613592386246,0.9811927676200867,0.9746537208557129
14,0.9663450121879578,9.155813217163086,0.9370550513267517,0.03365536406636238,0.001,0.9710044264793396,0.9727458357810974,0.9739081263542175,9.274313926696777,0.9492979049682617,0.02620551362633705,0.9869258403778076,0.9610410928726196
15,0.9719976186752319,8.824511528015137,0.94568932056427,0.027992956340312958,0.001,0.973267674446106,0.9746625423431396,0.9795782566070557,8.059884071350098,0.960048258304596,0.020338496193289757,0.9786438345909119,0.982961893081665
16,0.9748268723487854,8.140841484069824,0.9509755373001099,0.02516249753534794,0.001,0.975969135761261,0.9779249429702759,0.9801093935966492,7.836812973022461,0.9610664248466492,0.019885649904608727,0.9833018183708191,0.9786415696144104
17,0.9734804630279541,8.54160213470459,0.9485928416252136,0.02652440220117569,0.001,0.9746958613395691,0.9773021936416626,0.9745395183563232,9.412270545959473,0.9505179524421692,0.025384189561009407,0.9865028858184814,0.964515209197998
18,0.9688156247138977,9.422036170959473,0.9401723742485046,0.0311905425041914,0.001,0.967994749546051,0.9743537306785583,0.9752263426780701,8.982288360595703,0.9517398476600647,0.02478507161140442,0.9803041219711304,0.9715499877929688
19,0.973619282245636,8.475112915039062,0.9487593770027161,0.026379002258181572,0.001,0.9756485819816589,0.9765701293945312,0.9790845513343811,8.018147468566895,0.9590929746627808,0.020942067727446556,0.9768601655960083,0.9826942682266235
20,0.9697178602218628,9.177909851074219,0.9417636394500732,0.030279790982604027,0.001,0.972693145275116,0.973045289516449,0.9790765643119812,8.122758865356445,0.9591501951217651,0.020961405709385872,0.9776787161827087,0.9812153577804565
21,0.9703322052955627,8.86643123626709,0.9432588219642639,0.029654866084456444,0.001,0.9724528193473816,0.9755324125289917,0.9759611487388611,8.705671310424805,0.9535102248191833,0.024126656353473663,0.9866448640823364,0.9675189256668091
22,0.9727880358695984,8.571259498596191,0.9475311636924744,0.027205124497413635,0.000100000005,0.9731333255767822,0.9755213856697083,0.981353759765625,7.917644500732422,0.9634583592414856,0.018641583621501923,0.9849607348442078,0.9788199663162231
23,0.9754339456558228,8.17469310760498,0.9521265625953674,0.02456955425441265,0.000100000005,0.9761476516723633,0.9785270094871521,0.9816052913665771,7.814996242523193,0.9639692306518555,0.018475977703928947,0.9847655296325684,0.9800690412521362
