epoch,dice_coef,hausdorff,iou,loss,lr,precision,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision
0,0.06606471538543701,111.5477294921875,0.03431784734129906,0.9339354038238525,0.001,0.0910869687795639,0.03487085551023483,234.98524475097656,0.017765428870916367,0.9649122357368469,0.018125608563423157
1,0.07474461197853088,104.79918670654297,0.0390067994594574,0.9252554774284363,0.001,0.13173645734786987,0.032804764807224274,137.5713348388672,0.01669820211827755,0.9666898250579834,0.02030365541577339
2,0.08282853662967682,97.04866027832031,0.043436065316200256,0.9171711802482605,0.001,0.15304841101169586,0.03906751796603203,156.0513458251953,0.019947797060012817,0.9602434635162354,0.02447163499891758
3,0.09132508933544159,88.70909881591797,0.04812631383538246,0.9086748957633972,0.001,0.1703549474477768,0.04515776410698891,87.6737289428711,0.023215332999825478,0.9569571614265442,0.05061318725347519
4,0.1040637269616127,81.88922882080078,0.05525453761219978,0.8959363102912903,0.001,0.20930923521518707,0.05957124009728432,68.90617370605469,0.03078407235443592,0.9397433400154114,0.2279343605041504
5,0.11710276454687119,75.41725158691406,0.0626758262515068,0.8828975558280945,0.001,0.2267797291278839,0.10537304729223251,70.42627716064453,0.05574670061469078,0.8931517004966736,0.2046024054288864
6,0.13098692893981934,69.1996841430664,0.07070700824260712,0.8690134286880493,0.001,0.24285072088241577,0.07083617150783539,59.279972076416016,0.03689812868833542,0.9304869174957275,0.10731758922338486
7,0.1478472799062729,64.3610610961914,0.08052806556224823,0.8521530032157898,0.001,0.2548181414604187,0.10647759586572647,61.960819244384766,0.05642884969711304,0.8935781121253967,0.17224600911140442
8,0.1670038253068924,59.6568717956543,0.09204385429620743,0.8329963088035583,0.001,0.27624011039733887,0.13300366699695587,49.752811431884766,0.07149451225996017,0.8665876388549805,0.26139986515045166
9,0.18596778810024261,57.60009002685547,0.10368704050779343,0.8140324950218201,0.001,0.28308817744255066,0.10391493886709213,44.815887451171875,0.05542708560824394,0.89458829164505,0.3571420907974243
10,0.20830726623535156,53.80836868286133,0.11772897839546204,0.7916926741600037,0.001,0.3143034875392914,0.16346843540668488,58.32257843017578,0.0894046500325203,0.8389312028884888,0.19864314794540405
11,0.2287529706954956,51.1801872253418,0.13101859390735626,0.7712470293045044,0.001,0.32128283381462097,0.16635604202747345,47.80994415283203,0.09102343767881393,0.8346644639968872,0.23513543605804443
12,0.25462865829467773,49.14723205566406,0.14792537689208984,0.7453712821006775,0.001,0.3454049229621887,0.16108818352222443,54.35299301147461,0.08841074258089066,0.8377510905265808,0.16564497351646423
13,0.27466899156570435,46.88139724731445,0.1617220938205719,0.7253307700157166,0.001,0.36080673336982727,0.18431471288204193,55.57011413574219,0.10192274302244186,0.8135255575180054,0.20170918107032776
14,0.298821359872818,46.6102409362793,0.17864562571048737,0.7011784911155701,0.001,0.3833582401275635,0.2242608666419983,46.92344284057617,0.12701921164989471,0.7742146849632263,0.27728888392448425
15,0.327046662569046,44.5662727355957,0.19883374869823456,0.6729534268379211,0.001,0.40270182490348816,0.18685314059257507,46.85261154174805,0.10380874574184418,0.8120562434196472,0.2326003611087799
16,0.3512091040611267,43.96820831298828,0.21715551614761353,0.648790717124939,0.001,0.4075554311275482,0.19422203302383423,45.45301818847656,0.10810226947069168,0.8041574954986572,0.25496384501457214
17,0.3571309745311737,44.1140251159668,0.22197408974170685,0.6428689956665039,0.001,0.39933568239212036,0.2458031177520752,50.046592712402344,0.14092320203781128,0.752814531326294,0.2381589412689209
18,0.3706033527851105,43.02070236206055,0.23168185353279114,0.6293966174125671,0.001,0.4121037423610687,0.24434737861156464,46.199378967285156,0.14013344049453735,0.7540136575698853,0.2402833104133606
19,0.41540732979774475,40.56772994995117,0.2671424150466919,0.5845927596092224,0.001,0.4769202768802643,0.2519713044166565,39.511192321777344,0.1459406018257141,0.7505946159362793,0.33380424976348877
20,0.4229186475276947,39.92283248901367,0.27374452352523804,0.5770813822746277,0.001,0.4661208987236023,0.21892902255058289,43.30167770385742,0.12505845725536346,0.7847750782966614,0.22469794750213623
21,0.4436365067958832,39.92690658569336,0.2898237109184265,0.5563634037971497,0.001,0.491184264421463,0.2639372944831848,39.549598693847656,0.15364627540111542,0.7309327125549316,0.3052113950252533
22,0.46055611968040466,40.17095947265625,0.3060165345668793,0.539443850517273,0.001,0.4724937677383423,0.1881573498249054,38.437618255615234,0.10676997154951096,0.808192789554596,0.38452863693237305
23,0.462545782327652,39.3406867980957,0.3086324632167816,0.5374542474746704,0.001,0.47737595438957214,0.22855634987354279,57.8268928527832,0.13007229566574097,0.774365246295929,0.16260984539985657
24,0.46732375025749207,40.92445755004883,0.3101690709590912,0.5326762795448303,0.001,0.464224636554718,0.3090198338031769,39.91617202758789,0.18555404245853424,0.6904584765434265,0.37029916048049927
25,0.48878777027130127,40.14405059814453,0.33030521869659424,0.5112123489379883,0.001,0.4824373126029968,0.3153603971004486,38.30581283569336,0.18876080214977264,0.6827471852302551,0.3393506705760956
26,0.5066603422164917,38.29816436767578,0.3443508744239807,0.49333980679512024,0.001,0.5184589624404907,0.31304803490638733,41.80987548828125,0.18760350346565247,0.6888946890830994,0.31595686078071594
27,0.5209174752235413,37.884254455566406,0.3595673739910126,0.47908252477645874,0.001,0.526458740234375,0.3831273317337036,40.16885757446289,0.23826731741428375,0.6149703860282898,0.32896867394447327
28,0.5416308045387268,37.33058166503906,0.37805843353271484,0.45836934447288513,0.001,0.5546735525131226,0.2766360938549042,38.732666015625,0.16391721367835999,0.7217181921005249,0.36620160937309265
