epoch,dice_coef,hausdorff,iou,loss,lr,precision,recall,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision,val_recall
0,0.07674504071474075,105.60550689697266,0.040322110056877136,0.9232549071311951,0.001,0.1929350346326828,0.988000750541687,0.04544324427843094,85.55109405517578,0.02346368506550789,0.9545568227767944,0.5337255001068115,0.3402993679046631
1,0.10190166532993317,83.74755859375,0.054426513612270355,0.8980981707572937,0.001,0.21659742295742035,0.9795488715171814,0.03421633690595627,60.04233932495117,0.017478352412581444,0.9657837748527527,0.007061488926410675,0.0007226028246805072
2,0.14763212203979492,63.9609375,0.08113965392112732,0.8523676991462708,0.001,0.29321929812431335,0.9814996123313904,0.10273892432451248,92.74655151367188,0.05466698855161667,0.8972617387771606,0.0927930623292923,0.9994279742240906
3,0.21070894598960876,50.96995162963867,0.12081746011972427,0.7892909646034241,0.001,0.35314998030662537,0.9702335596084595,0.15082666277885437,69.96195220947266,0.0825582966208458,0.8491730093955994,0.13902495801448822,0.9993846416473389
4,0.2990419566631317,40.77633285522461,0.182270810008049,0.7009581923484802,0.001,0.45860010385513306,0.9634045362472534,0.11530086398124695,97.30982208251953,0.06155441701412201,0.8846993446350098,0.0716124102473259,0.9999685883522034
5,0.38598108291625977,36.523155212402344,0.2486792653799057,0.6140190958976746,0.001,0.5025448799133301,0.9450576305389404,0.3918801248073578,36.205989837646484,0.2526371479034424,0.6081197261810303,0.4554644823074341,0.9665457606315613
6,0.460305392742157,32.55464172363281,0.3138768970966339,0.5396945476531982,0.001,0.5694148540496826,0.9148003458976746,0.4477657079696655,24.75845718383789,0.3034365773200989,0.5522342920303345,0.745559573173523,0.7542012929916382
7,0.4920153021812439,32.5317497253418,0.3457476496696472,0.5079845786094666,0.001,0.5571743249893188,0.8734896183013916,0.34537968039512634,29.49881362915039,0.22560636699199677,0.6546200513839722,0.6324458122253418,0.4974649250507355
8,0.5508606433868408,31.589048385620117,0.3984506130218506,0.44913944602012634,0.001,0.5799901485443115,0.8999622464179993,0.41968318819999695,45.280006408691406,0.2708870768547058,0.5803166627883911,0.31002119183540344,0.9822230935096741
9,0.5954921245574951,30.46497917175293,0.441400408744812,0.40450790524482727,0.001,0.5990280508995056,0.9134067296981812,0.5572659373283386,31.4829158782959,0.3976143002510071,0.4427339732646942,0.5355004668235779,0.9289487600326538
10,0.6383261680603027,26.369943618774414,0.4927104711532593,0.3616739511489868,0.001,0.6762261986732483,0.8901919722557068,0.683280885219574,26.58289909362793,0.5354282855987549,0.3167192339897156,0.6449175477027893,0.8933819532394409
11,0.6498042345046997,26.78241539001465,0.5069778561592102,0.35019588470458984,0.001,0.6864293217658997,0.8609309792518616,0.6300269961357117,30.780790328979492,0.4747779965400696,0.369972825050354,0.5139877796173096,0.9830973744392395
12,0.709679901599884,23.029233932495117,0.577444851398468,0.29031991958618164,0.001,0.7589145302772522,0.8792018890380859,0.5187137722969055,38.575870513916016,0.35720163583755493,0.4812861979007721,0.40704479813575745,0.9549527168273926
13,0.7466916441917419,22.09097671508789,0.6220703721046448,0.25330832600593567,0.001,0.792076826095581,0.8865647912025452,0.031014783307909966,33.9925537109375,0.016322270035743713,0.9689847230911255,0.9668614268302917,0.014160632155835629
14,0.7615991830825806,21.26443099975586,0.6433832049369812,0.23840093612670898,0.001,0.8084115386009216,0.8792436122894287,0.6779326796531677,26.698299407958984,0.5328390598297119,0.3220676779747009,0.640842854976654,0.9334728717803955
15,0.688441276550293,24.13970947265625,0.5820656418800354,0.3115593194961548,0.001,0.6568118333816528,0.8430707454681396,0.00746168615296483,34.12910079956055,0.0037659918889403343,0.9925379753112793,0.9666666388511658,6.28350317128934e-05
16,0.5749545097351074,32.235443115234375,0.4204302728176117,0.42504534125328064,0.000100000005,0.5608290433883667,0.7075450420379639,0.4809008836746216,26.071897506713867,0.3403704762458801,0.5190991163253784,0.9304513335227966,0.42479515075683594
17,0.6683343648910522,26.787405014038086,0.526691734790802,0.3316657841205597,0.000100000005,0.6952601671218872,0.7808294296264648,0.522170901298523,25.5063419342041,0.3790939450263977,0.4778290390968323,0.8926331400871277,0.48357295989990234
18,0.7083377838134766,24.465282440185547,0.5722317099571228,0.2916621267795563,0.000100000005,0.7516846060752869,0.8039737939834595,0.5980585813522339,30.062849044799805,0.44747161865234375,0.40194153785705566,0.5410459041595459,0.9105348587036133
19,0.7402282953262329,21.776912689208984,0.6135400533676147,0.2597719132900238,0.000100000005,0.8094318509101868,0.814968466758728,0.6580337882041931,21.284406661987305,0.5266916155815125,0.34196579456329346,0.87639981508255,0.706853985786438
20,0.7559806108474731,21.0145206451416,0.6325438618659973,0.24401935935020447,0.000100000005,0.8233146667480469,0.8360852003097534,0.6764295697212219,20.8499755859375,0.5539925694465637,0.32357069849967957,0.8023048639297485,0.8026394844055176
21,0.7695382833480835,20.095998764038086,0.6472598910331726,0.23046180605888367,1.0000001e-05,0.8590263724327087,0.8167979121208191,0.7088429927825928,22.564279556274414,0.5783458352088928,0.29115742444992065,0.7068751454353333,0.882055401802063
22,0.7822536826133728,19.591278076171875,0.6635353565216064,0.21774651110172272,1.0000001e-05,0.858307421207428,0.8383584022521973,0.7139419913291931,21.6499080657959,0.5850505828857422,0.2860580384731293,0.7327231168746948,0.8758358359336853
23,0.7835957407951355,19.156782150268555,0.6685481071472168,0.2164044976234436,1.0000001e-05,0.8556790947914124,0.8524356484413147,0.7103933691978455,21.89375877380371,0.5784400701522827,0.2896062731742859,0.7274782061576843,0.8594391345977783
24,0.7827651500701904,19.44936752319336,0.6657921671867371,0.21723437309265137,1.0000001e-05,0.8534064292907715,0.8508629202842712,0.7056170701980591,21.360177993774414,0.5775997638702393,0.2943825125694275,0.764015793800354,0.8373439311981201
25,0.7870408296585083,19.27954864501953,0.6696986556053162,0.2129594385623932,1.0000001e-05,0.8638263940811157,0.8441024422645569,0.7023515701293945,21.31089973449707,0.5737960338592529,0.2976485788822174,0.7761358618736267,0.8110171556472778
26,0.7894916534423828,18.743860244750977,0.6749839186668396,0.21050864458084106,1.0000001e-05,0.8673061728477478,0.8518897891044617,0.7068920731544495,21.221830368041992,0.5785468816757202,0.29310786724090576,0.7759048938751221,0.8211855888366699
27,0.7926588654518127,18.834077835083008,0.6793861985206604,0.20734083652496338,1.0000001e-05,0.8601868152618408,0.8656508922576904,0.7129992842674255,21.313777923583984,0.586092472076416,0.2870005667209625,0.7409150004386902,0.8653455972671509
28,0.7992534637451172,18.203994750976562,0.6869537234306335,0.20074661076068878,1.0000001e-06,0.8739595413208008,0.8611884713172913,0.7196362018585205,22.548444747924805,0.587877094745636,0.2803639769554138,0.6981214880943298,0.8865166902542114
29,0.7907444834709167,19.042469024658203,0.6756451725959778,0.20925551652908325,1.0000001e-06,0.856987714767456,0.858608067035675,0.714066743850708,21.872840881347656,0.5855892300605774,0.2859335243701935,0.7191271185874939,0.8808062672615051
30,0.7969151735305786,18.23393440246582,0.6843723654747009,0.20308510959148407,1.0000001e-06,0.8694300055503845,0.8616036772727966,0.7107242345809937,22.301591873168945,0.579393744468689,0.28927573561668396,0.7033223509788513,0.8836934566497803
31,0.7854467034339905,19.047250747680664,0.6717890501022339,0.21455320715904236,1.0000001e-06,0.8567162156105042,0.8611504435539246,0.7114882469177246,22.509424209594727,0.5799087285995483,0.28851157426834106,0.6950234174728394,0.8925954103469849
32,0.7897170782089233,18.54279136657715,0.6759759187698364,0.21028296649456024,1.0000001e-06,0.8658002614974976,0.8598909378051758,0.719024121761322,21.803224563598633,0.5875651240348816,0.28097620606422424,0.714094340801239,0.8888426423072815
33,0.7920199632644653,18.68767547607422,0.678840696811676,0.20797933638095856,1.0000001e-06,0.8603624105453491,0.863300621509552,0.7177950143814087,21.410314559936523,0.5904921889305115,0.2822052240371704,0.7231060266494751,0.884340226650238
34,0.7928689122200012,18.86256217956543,0.6786068677902222,0.20713089406490326,1.0000001e-07,0.872425377368927,0.8499062061309814,0.712617814540863,22.7758731842041,0.5795847177505493,0.28738173842430115,0.6982365250587463,0.8841029405593872
35,0.7895275354385376,18.918638229370117,0.6752691864967346,0.21047210693359375,1.0000001e-07,0.8595023155212402,0.8640822172164917,0.7089851498603821,22.516183853149414,0.5773012042045593,0.2910146117210388,0.6898502707481384,0.8920255899429321
36,0.7896043062210083,19.003063201904297,0.6750757098197937,0.21039582788944244,1.0000001e-07,0.8614006042480469,0.8567062020301819,0.7121092677116394,22.344154357910156,0.5814062356948853,0.28789106011390686,0.7021323442459106,0.890201210975647
37,0.7946120500564575,18.689443588256836,0.6816180348396301,0.20538835227489471,1.0000001e-07,0.8723980784416199,0.8558934926986694,0.7153189778327942,21.908716201782227,0.5871487855911255,0.28468120098114014,0.7113420367240906,0.8858460783958435
38,0.7961147427558899,18.754390716552734,0.6817827224731445,0.2038850635290146,1.0000001e-07,0.8682864904403687,0.8602878451347351,0.7181673645973206,22.463951110839844,0.5863587856292725,0.2818327844142914,0.700188398361206,0.890241265296936
39,0.7935547828674316,18.44563865661621,0.6802095174789429,0.20644515752792358,1e-07,0.8727447390556335,0.8581711053848267,0.7099201679229736,22.761322021484375,0.578626811504364,0.29008015990257263,0.6889770030975342,0.8900484442710876
40,0.793749213218689,18.52762222290039,0.6804149746894836,0.20625069737434387,1e-07,0.865725040435791,0.8612663745880127,0.7244054079055786,21.583097457885742,0.5954659581184387,0.27559471130371094,0.7291697859764099,0.8780155181884766
41,0.8033682703971863,18.35638999938965,0.6908198595046997,0.19663168489933014,1e-07,0.8721112608909607,0.8650832772254944,0.7179906368255615,22.888097763061523,0.5851250886917114,0.2820093333721161,0.6925169229507446,0.8971520662307739
