epoch,dice_coef,hausdorff,iou,loss,lr,precision,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision
0,0.5299316048622131,21.97915267944336,0.3770783543586731,0.05204867944121361,0.001,0.5689356327056885,0.019158797338604927,40.72801208496094,0.00967478659003973,0.08171462267637253,0.0
1,0.8173452615737915,12.470588684082031,0.6964910626411438,0.007722053211182356,0.001,0.9560993909835815,0.003914856817573309,41.870704650878906,0.001961275702342391,0.10150808840990067,0.0
2,0.8920576572418213,10.411233901977539,0.8075706958770752,0.004498339723795652,0.001,0.9680871367454529,0.0019788513891398907,41.6312370300293,0.0009904055623337626,0.11286837607622147,0.0
3,0.9192203879356384,10.00830364227295,0.8516863584518433,0.0035357216838747263,0.001,0.9684433937072754,0.20517776906490326,38.698970794677734,0.11740048229694366,0.07049960643053055,1.0
4,0.9414835572242737,8.246665000915527,0.8900693655014038,0.0025099373888224363,0.001,0.9763492941856384,0.7953940629959106,23.604707717895508,0.6662219762802124,0.015208903700113297,0.9996567368507385
5,0.9488282203674316,8.146820068359375,0.903189480304718,0.0022637168876826763,0.001,0.9767327904701233,0.8666191697120667,18.717538833618164,0.7672837376594543,0.009904022328555584,0.9988266825675964
6,0.9553909301757812,7.912712097167969,0.9149211049079895,0.0020341488998383284,0.001,0.9782277941703796,0.8927596807479858,17.6639461517334,0.8080329298973083,0.007871131412684917,0.996092677116394
7,0.9595094919204712,7.593061923980713,0.9223676919937134,0.001874282374046743,0.001,0.9792285561561584,0.9513359069824219,10.423287391662598,0.9074476361274719,0.002674368442967534,0.9938548803329468
8,0.9605621099472046,7.76118278503418,0.9243230223655701,0.001865545054897666,0.001,0.9790068864822388,0.42015311121940613,37.445335388183594,0.2746451199054718,0.06002744287252426,0.9987455606460571
9,0.9341419339179993,11.291422843933105,0.8786725401878357,0.003334539011120796,0.001,0.9633793234825134,0.9139848947525024,13.799487113952637,0.8421081304550171,0.005034429486840963,0.9757183790206909
10,0.9577390551567078,8.323123931884766,0.919162929058075,0.0020679165609180927,0.001,0.9762519598007202,0.9016367793083191,17.215099334716797,0.8230744004249573,0.005828453227877617,0.9952238202095032
11,0.9635155200958252,7.686579704284668,0.9297285079956055,0.0017884033732116222,0.001,0.9789002537727356,0.9066635370254517,14.916781425476074,0.8384684920310974,0.005026663653552532,0.9953116178512573
12,0.9654287099838257,7.68422794342041,0.9332414865493774,0.0017408441053703427,0.001,0.9793493747711182,0.9549785852432251,10.516589164733887,0.914206326007843,0.0025526555255055428,0.9921991229057312
13,0.9653885364532471,7.797357559204102,0.933227002620697,0.0017112874193117023,0.001,0.9795884490013123,0.924199640750885,14.619215965270996,0.8612179756164551,0.004545871168375015,0.9864343404769897
14,0.9669784307479858,7.6463518142700195,0.9361200928688049,0.0016810351517051458,0.001,0.9797757863998413,0.9331146478652954,15.393928527832031,0.8759055137634277,0.004874881822615862,0.9948665499687195
15,0.96735680103302,7.442143440246582,0.936866044998169,0.001622157753445208,0.001,0.9802234768867493,0.9419559240341187,12.818717956542969,0.8926694393157959,0.0038625402376055717,0.9929681420326233
16,0.9684194326400757,7.466730117797852,0.9388211369514465,0.001601054915226996,0.001,0.9801576733589172,0.9523685574531555,12.153242111206055,0.909659206867218,0.0031052986159920692,0.9927811026573181
17,0.9693002700805664,7.269859313964844,0.9404741525650024,0.0015562708722427487,0.001,0.9805436730384827,0.9547686576843262,10.867862701416016,0.9140006303787231,0.00270390254445374,0.9946046471595764
18,0.9697901010513306,7.149149417877197,0.941396951675415,0.0015317086363211274,0.000100000005,0.9813655018806458,0.9650124907493591,9.048888206481934,0.9325947165489197,0.002017086138948798,0.9903682470321655
19,0.9701628684997559,7.1410322189331055,0.9421022534370422,0.0014987884787842631,0.000100000005,0.9812402129173279,0.9661127924919128,9.065657615661621,0.9345855712890625,0.0019786388147622347,0.9898362755775452
20,0.9695088267326355,7.401968479156494,0.9409716725349426,0.0015379349933937192,0.000100000005,0.9810097813606262,0.9533910155296326,11.010411262512207,0.9125909209251404,0.00281987595371902,0.9877321124076843
21,0.9698519110679626,7.123126983642578,0.9415154457092285,0.0015102624893188477,0.000100000005,0.9811874032020569,0.9624589681625366,9.755271911621094,0.9281817674636841,0.002200104296207428,0.9904255867004395
22,0.9701722860336304,7.2559919357299805,0.9421442151069641,0.0015185946831479669,0.000100000005,0.981277346611023,0.9438584446907043,13.11125373840332,0.8947818875312805,0.0039769564755260944,0.9941834807395935
23,0.9701694846153259,7.342013835906982,0.9421052932739258,0.0015130701940506697,0.000100000005,0.9811217784881592,0.9602073431015015,10.190849304199219,0.9241091012954712,0.002340756356716156,0.9920454025268555
24,0.9700061678886414,7.309996128082275,0.941794216632843,0.001522619160823524,1.0000001e-05,0.9832028150558472,0.9673624634742737,8.863297462463379,0.9369431138038635,0.0018580486066639423,0.9871751666069031
25,0.9702142477035522,7.152450084686279,0.9421947598457336,0.0014994445955380797,1.0000001e-05,0.9813594222068787,0.9664803147315979,9.3932466506958,0.9352915287017822,0.0019231585320085287,0.9878036975860596
26,0.9703911542892456,7.2387614250183105,0.9425249099731445,0.0014956563245505095,1.0000001e-05,0.981695830821991,0.9668962955474854,9.21780776977539,0.9360153079032898,0.0019325311295688152,0.9875966906547546
27,0.9703745245933533,7.150660991668701,0.9424989819526672,0.0014906014548614621,1.0000001e-05,0.9814272522926331,0.9655638337135315,8.771982192993164,0.9337687492370605,0.0019301889697089791,0.9877371788024902
28,0.9704098105430603,7.137938499450684,0.9425653219223022,0.0014963559806346893,1.0000001e-05,0.9816288948059082,0.9658370614051819,9.284164428710938,0.9341585636138916,0.0019216911168769002,0.9876459836959839
29,0.9706057906150818,7.1332173347473145,0.9429343938827515,0.0014811786822974682,1.0000001e-05,0.9817455410957336,0.9663684964179993,9.220471382141113,0.9351094365119934,0.0019499165937304497,0.9879137277603149
30,0.9704509377479553,7.214545249938965,0.9426425099372864,0.0014911285834386945,1.0000001e-06,0.9822129607200623,0.9663031101226807,9.350052833557129,0.9350250363349915,0.001907484489493072,0.9873728156089783
31,0.9707285165786743,7.233345031738281,0.9431559443473816,0.0014875557972118258,1.0000001e-06,0.982054591178894,0.9669471383094788,8.685035705566406,0.9362288117408752,0.001875540241599083,0.9870291352272034
32,0.9704171419143677,7.0977888107299805,0.9425824284553528,0.0014912630431354046,1.0000001e-06,0.9819491505622864,0.9679514169692993,8.827353477478027,0.9380135536193848,0.0018562471959739923,0.9866514801979065
33,0.9703730940818787,7.183248043060303,0.9425031542778015,0.0014932589838281274,1.0000001e-06,0.9818097352981567,0.9676951766014099,8.801928520202637,0.937583327293396,0.0018530094530433416,0.9866188764572144
34,0.970169186592102,7.076597690582275,0.9421177506446838,0.0014961588894948363,1.0000001e-06,0.9816260933876038,0.9666160941123962,8.94763469696045,0.9356020092964172,0.0018579572206363082,0.9865857362747192
35,0.9705522060394287,7.202466011047363,0.9428288340568542,0.0014986508758738637,1.0000001e-07,0.9812687635421753,0.9673622250556946,9.19869613647461,0.9368856549263,0.001848558778874576,0.986538290977478
36,0.970664381980896,7.0511393547058105,0.9430423378944397,0.0014812741428613663,1.0000001e-07,0.9816038012504578,0.9653623700141907,9.044059753417969,0.9334818124771118,0.001860582153312862,0.9866426587104797
