epoch,dice_coef,hausdorff,iou,loss,lr,precision,recall,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision,val_recall
0,0.036755383014678955,254.13540649414062,0.018793385475873947,0.963219940662384,0.001,0.018805820494890213,1.0,0.022304825484752655,255.10462951660156,0.01132701151072979,0.9776715636253357,0.011339087039232254,1.0
1,0.03674884885549545,254.14991760253906,0.01878741942346096,0.9632540345191956,0.001,0.018785815685987473,1.0,0.02228703536093235,255.03770446777344,0.011324500665068626,0.9776840209960938,0.011339089833199978,1.0
2,0.03694815933704376,254.13998413085938,0.018893880769610405,0.9630329012870789,0.001,0.018903585150837898,1.0,0.022299284115433693,255.07354736328125,0.011327332817018032,0.9776781797409058,0.011339094489812851,1.0
3,0.0368635468184948,254.1295928955078,0.01885024458169937,0.9631379246711731,0.001,0.018849367275834084,1.0,0.02230050228536129,255.12594604492188,0.01132485456764698,0.9776716232299805,0.011339085176587105,1.0
4,0.036905255168676376,254.16668701171875,0.018866829574108124,0.9630740284919739,0.001,0.0188773013651371,1.0,0.022296197712421417,255.1090545654297,0.011323599144816399,0.9776738286018372,0.011339085176587105,1.0
5,0.0367545522749424,254.15255737304688,0.018791722133755684,0.9632245302200317,0.001,0.01880243793129921,1.0,0.02229200303554535,255.08462524414062,0.01132343802601099,0.9776774048805237,0.011339085176587105,1.0
6,0.03677373751997948,254.11476135253906,0.018804851919412613,0.9632308483123779,0.000100000005,0.018802689388394356,1.0,0.022296078503131866,255.1246337890625,0.011321603320538998,0.9776692986488342,0.011339087970554829,1.0
7,0.03692002594470978,254.119140625,0.018882960081100464,0.963058590888977,0.000100000005,0.018893839791417122,1.0,0.02231508307158947,255.16822814941406,0.011327622458338737,0.9776625037193298,0.01133908424526453,1.0
8,0.03677095100283623,254.14453125,0.018802620470523834,0.9632073640823364,0.000100000005,0.018813828006386757,1.0,0.022355612367391586,255.08338928222656,0.011354857124388218,0.9776754379272461,0.011339087039232254,1.0
9,0.03684431314468384,254.14834594726562,0.018841080367565155,0.9631561636924744,0.000100000005,0.018840933218598366,1.0,0.022307949140667915,255.16482543945312,0.011323695071041584,0.9776622653007507,0.011339089833199978,1.0
10,0.03670405596494675,254.12112426757812,0.018768765032291412,0.9632732272148132,0.000100000005,0.018780328333377838,1.0,0.022291921079158783,255.06991577148438,0.011325144208967686,0.9776808619499207,0.011339085176587105,1.0
11,0.03682300075888634,254.1395721435547,0.018826251849532127,0.9631743431091309,1.0000001e-05,0.018828079104423523,1.0,0.022303925827145576,255.14466857910156,0.011322826147079468,0.9776644706726074,0.011339087970554829,1.0
12,0.03667287901043892,254.1478729248047,0.018749935552477837,0.963304877281189,1.0000001e-05,0.018761252984404564,1.0,0.02230929769575596,255.1524200439453,0.011326496489346027,0.9776660799980164,0.011339087039232254,1.0
13,0.03699471056461334,254.15765380859375,0.018916351720690727,0.9629837274551392,1.0000001e-05,0.01892770826816559,1.0,0.0222982969135046,255.1077117919922,0.011323824524879456,0.9776718616485596,0.011339080519974232,1.0
14,0.03686240687966347,254.14495849609375,0.01884927973151207,0.9631134271621704,1.0000001e-05,0.018861498683691025,1.0,0.02228630520403385,255.0111541748047,0.011326238512992859,0.9776887893676758,0.011339090764522552,1.0
15,0.03687208518385887,254.14976501464844,0.018851524218916893,0.963104784488678,1.0000001e-05,0.01886357180774212,1.0,0.022396540269255638,255.06163024902344,0.011378356255590916,0.9776789546012878,0.011339089833199978,1.0
16,0.036658141762018204,254.14141845703125,0.018742619082331657,0.9633196592330933,1.0000001e-06,0.01875392533838749,1.0,0.022300882264971733,255.13967895507812,0.011323019862174988,0.9776678681373596,0.011339087039232254,1.0
17,0.03688124939799309,254.14987182617188,0.01885923556983471,0.9630985260009766,1.0000001e-06,0.018869519233703613,1.0,0.022300124168395996,255.10679626464844,0.011325047351419926,0.9776725172996521,0.011339085176587105,1.0
18,0.03680555522441864,254.13169860839844,0.01882122829556465,0.9631727337837219,1.0000001e-06,0.018832305446267128,1.0,0.022306974977254868,255.13650512695312,0.011325369589030743,0.9776663780212402,0.011339087970554829,1.0
19,0.03669915720820427,254.11209106445312,0.018770532682538033,0.9633193016052246,1.0000001e-06,0.018761254847049713,1.0,0.022289646789431572,255.06442260742188,0.011323148384690285,0.9776793122291565,0.011339087039232254,1.0
20,0.03676844388246536,254.14707946777344,0.0188008863478899,0.9632115960121155,1.0000001e-06,0.018811218440532684,1.0,0.022288130596280098,255.08311462402344,0.011321603320538998,0.9776775240898132,0.011339089833199978,1.0
21,0.03673311695456505,254.12750244140625,0.01878032460808754,0.9632481932640076,1.0000001e-07,0.01878991723060608,1.0,0.022284390404820442,255.0578155517578,0.011322054080665112,0.97768235206604,0.011339090764522552,1.0
22,0.03678642958402634,254.14279174804688,0.018808282911777496,0.9631962180137634,1.0000001e-07,0.018816880881786346,1.0,0.022289732471108437,255.06788635253906,0.011323405429720879,0.9776798486709595,0.011339087039232254,1.0
23,0.03680713474750519,254.12640380859375,0.01882357709109783,0.9631710052490234,1.0000001e-07,0.018835097551345825,1.0,0.022300248965620995,255.06845092773438,0.01132887788116932,0.9776797890663147,0.011339087039232254,1.0
24,0.03675857186317444,254.133544921875,0.018796036019921303,0.9632167220115662,1.0000001e-07,0.018808705732226372,1.0,0.02230597473680973,255.12159729003906,0.01132607739418745,0.9776687622070312,0.011339085176587105,1.0
25,0.03665506839752197,254.14097595214844,0.018740467727184296,0.9633284211158752,1.0000001e-07,0.018748648464679718,1.0,0.022297773510217667,255.10894775390625,0.01132343802601099,0.9776719808578491,0.01133908424526453,1.0
