epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.16736756265163422,0.09354186058044434,0.833247184753418,0.01,0.3266022801399231,0.9627391695976257,5.125952520756982e-05,4.370021270005964e-05,0.9999489188194275,0.0,0.0
1,0.5060239434242249,0.35176295042037964,0.4952421486377716,0.01,0.7008395195007324,0.9167538285255432,0.1002144068479538,0.0527922660112381,0.8996936678886414,0.05356951057910919,1.0
2,0.7452923655509949,0.5988410711288452,0.25518739223480225,0.01,0.8559869527816772,0.8661304712295532,0.054452452808618546,0.02799290604889393,0.9455903768539429,0.028024008497595787,1.0
3,0.8422302007675171,0.7324243187904358,0.15791811048984528,0.01,0.8956724405288696,0.897071361541748,0.721187949180603,0.5695192217826843,0.27940288186073303,0.5898722410202026,0.9967854022979736
4,0.8587602972984314,0.7568962574005127,0.14160087704658508,0.01,0.8961357474327087,0.8897323608398438,0.32740387320518494,0.19693130254745483,0.6730589866638184,0.1932416409254074,1.0
5,0.9009732604026794,0.8217975497245789,0.09916213154792786,0.01,0.9344872832298279,0.9134636521339417,0.7488901019096375,0.60123610496521,0.25098052620887756,0.6119527816772461,0.9961296916007996
6,0.9191434383392334,0.8522142767906189,0.0809670016169548,0.01,0.953578531742096,0.9202539920806885,0.867361843585968,0.7673172354698181,0.1326541006565094,0.8068622350692749,0.9653674364089966
7,0.9285534620285034,0.8689389824867249,0.0711265280842781,0.01,0.9594924449920654,0.92666095495224,0.7880451679229736,0.6545851230621338,0.21253156661987305,0.9783618450164795,0.6803972125053406
8,0.9365074038505554,0.8837255835533142,0.06364237517118454,0.01,0.96177077293396,0.9350849390029907,0.4394061267375946,0.29171261191368103,0.5602417588233948,0.987215518951416,0.2969522178173065
9,0.9505342245101929,0.9067028760910034,0.04957769066095352,0.01,0.9614773988723755,0.9565809965133667,0.9312393069267273,0.8718356490135193,0.06870031356811523,0.9001420736312866,0.983731210231781
10,0.9600526094436646,0.92350172996521,0.03999490290880203,0.01,0.9706213474273682,0.9626685976982117,0.9392540454864502,0.8859935998916626,0.06079873815178871,0.9268139004707336,0.9630168080329895
11,0.9653128385543823,0.9331674575805664,0.03472236171364784,0.01,0.9731025099754333,0.9688014984130859,0.836372971534729,0.7207402586936951,0.16374783217906952,0.9604486227035522,0.7528769373893738
12,0.967886209487915,0.9379350543022156,0.032072823494672775,0.01,0.974223256111145,0.9712607860565186,0.9035707712173462,0.8252229690551758,0.09636474400758743,0.8515462875366211,0.9742379784584045
13,0.942613959312439,0.8937157392501831,0.05741705372929573,0.01,0.9514715075492859,0.9422863721847534,0.4426955282688141,0.28637129068374634,0.5569557547569275,0.2808486819267273,0.9999938011169434
14,0.9607065916061401,0.9251223206520081,0.039381079375743866,0.01,0.969433605670929,0.9599576592445374,0.9168643951416016,0.8476428389549255,0.08335397392511368,0.9169453382492065,0.9244211316108704
15,0.9380332231521606,0.8910584449768066,0.06124679744243622,0.01,0.9240084290504456,0.943224310874939,0.05992083624005318,0.030893830582499504,0.9399887323379517,0.03084912709891796,1.0
16,0.9250332713127136,0.863085150718689,0.07516022026538849,0.0009999999,0.9485275149345398,0.9116188883781433,0.6765422821044922,0.513129711151123,0.3232492208480835,0.5131413340568542,0.9989896416664124
17,0.9344530701637268,0.8796262145042419,0.06566730886697769,0.0009999999,0.9607152938842773,0.919735312461853,0.9380107522010803,0.8837241530418396,0.06186940148472786,0.9096904397010803,0.9804114699363708
18,0.9409645199775696,0.8912068009376526,0.059144679456949234,0.0009999999,0.9660564661026001,0.9270784854888916,0.93768709897995,0.8832061886787415,0.062352824956178665,0.9123253226280212,0.976475179195404
19,0.9445162415504456,0.896798849105835,0.055468589067459106,0.0009999999,0.967667818069458,0.9320123195648193,0.9558125138282776,0.9154964089393616,0.04417986422777176,0.9585561156272888,0.9623548984527588
20,0.9474302530288696,0.9025145769119263,0.0526982881128788,0.0009999999,0.9674798250198364,0.9373965859413147,0.9509220719337463,0.9067561626434326,0.04916758835315704,0.9333549737930298,0.977586567401886
21,0.9595640897750854,0.9227049350738525,0.04044033959507942,0.0009999999,0.9704826474189758,0.955551266670227,0.9327754974365234,0.8751149773597717,0.06710422784090042,0.8947927951812744,0.984510600566864
22,0.9647467732429504,0.9320955872535706,0.03522111847996712,0.0009999999,0.9720519185066223,0.9635095596313477,0.9248486161231995,0.8622653484344482,0.07537345588207245,0.8769252896308899,0.9878860116004944
23,0.9659416079521179,0.9343372583389282,0.034115955233573914,0.0009999999,0.9728972911834717,0.9646198153495789,0.935768723487854,0.8802446722984314,0.06427101045846939,0.8951554894447327,0.9887046217918396
24,0.968375563621521,0.9388632774353027,0.031594403088092804,0.0009999999,0.9741036295890808,0.9678929448127747,0.951935350894928,0.909313440322876,0.0481218658387661,0.9305089116096497,0.9820135831832886
25,0.9698364734649658,0.9415466785430908,0.030138937756419182,9.999999e-05,0.9747530817985535,0.9707720875740051,0.9566705226898193,0.9177375435829163,0.04341820627450943,0.9414185285568237,0.9794031381607056
26,0.9705989956855774,0.9429676532745361,0.02940504252910614,9.999999e-05,0.9757834672927856,0.9709208607673645,0.9573838710784912,0.9187868237495422,0.042682744562625885,0.9431734681129456,0.9785062074661255
27,0.9711765646934509,0.9440420866012573,0.02883262000977993,9.999999e-05,0.9761109352111816,0.9714407324790955,0.9563297033309937,0.9170270562171936,0.04374895989894867,0.9411729574203491,0.9793495535850525
28,0.9715836644172668,0.944806694984436,0.028390541672706604,9.999999e-05,0.9763250946998596,0.9724169373512268,0.9580565094947815,0.9199599623680115,0.0420205295085907,0.9458750486373901,0.976815402507782
29,0.9717839360237122,0.9451999068260193,0.02824096754193306,9.999999e-05,0.9766395092010498,0.9723745584487915,0.9570890665054321,0.9183452725410461,0.043050527572631836,0.941993772983551,0.9788381457328796
30,0.9719576239585876,0.9455099105834961,0.028063522651791573,9.999999e-05,0.9769521355628967,0.9723451733589172,0.9569510817527771,0.918107807636261,0.043141838163137436,0.9441437721252441,0.9772545695304871
31,0.9721766114234924,0.9459158182144165,0.02785884216427803,9.999999e-05,0.9766226410865784,0.9729814529418945,0.9571617245674133,0.9184261560440063,0.0429508276283741,0.9456221461296082,0.9760648608207703
32,0.9720199704170227,0.9456509947776794,0.027841409668326378,9.999999e-05,0.976853609085083,0.972675085067749,0.9573473334312439,0.9187995791435242,0.04243430122733116,0.9472084045410156,0.9745225310325623
33,0.9725081324577332,0.9465448260307312,0.027527015656232834,9.999999e-05,0.9771718382835388,0.9729602932929993,0.9562278985977173,0.9168932437896729,0.043887682259082794,0.9421234130859375,0.9779433012008667
34,0.9725781679153442,0.946703314781189,0.027422167360782623,9.999999e-06,0.9755722284317017,0.9751167297363281,0.9570924639701843,0.9183876514434814,0.04272159934043884,0.9480095505714417,0.9737575054168701
35,0.9726828336715698,0.946886420249939,0.027315961197018623,9.999999e-06,0.9762033224105835,0.9747268557548523,0.9573106169700623,0.9188724756240845,0.042540229856967926,0.9497639536857605,0.9722832441329956
36,0.9723201394081116,0.9462012648582458,0.027683429419994354,9.999999e-06,0.9764006733894348,0.9738788604736328,0.9575332403182983,0.9190733432769775,0.042381759732961655,0.9495142698287964,0.9723780751228333
37,0.9727487564086914,0.9470070004463196,0.027180643752217293,9.999999e-06,0.9773271083831787,0.9736977219581604,0.9576883316040039,0.9195088744163513,0.04242652282118797,0.9499208927154541,0.9718151688575745
38,0.9728766083717346,0.947243332862854,0.027122890576720238,9.999999e-06,0.9770104885101318,0.9741958379745483,0.9575151801109314,0.9189651608467102,0.04254172369837761,0.9496999382972717,0.9720708131790161
