epoch,dice_coef,hausdorff,iou,loss,lr,precision,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision
0,0.06109364330768585,105.306884765625,0.031732767820358276,0.9390962719917297,0.001,0.16041572391986847,0.0184743944555521,85.79391479492188,0.009339915588498116,0.9815505146980286,0.0
1,0.07980288565158844,81.51485443115234,0.041931990534067154,0.9204033017158508,0.001,0.22933657467365265,0.05217389017343521,74.66867065429688,0.026856422424316406,0.9478870034217834,0.06753121316432953
2,0.10609017312526703,63.05356979370117,0.05676466226577759,0.8942831754684448,0.001,0.24524621665477753,0.08387608081102371,56.553916931152344,0.04406033456325531,0.916165828704834,0.2311318963766098
3,0.14600412547588348,50.66801071166992,0.08017461001873016,0.8544829487800598,0.001,0.32144084572792053,0.07469492405653,63.43785095214844,0.03886713087558746,0.9253435730934143,0.06301219761371613
4,0.20145003497600555,40.70364761352539,0.11476773023605347,0.7989585995674133,0.001,0.42608609795570374,0.17090687155723572,36.02069854736328,0.0946657583117485,0.8292679786682129,0.3172648251056671
5,0.2766872048377991,33.25771713256836,0.16559270024299622,0.7238637804985046,0.001,0.5382716059684753,0.17813079059123993,26.601533889770508,0.10185978561639786,0.8217623829841614,0.6247103810310364
6,0.3660363554954529,27.23990821838379,0.23265554010868073,0.6347238421440125,0.001,0.6481792330741882,0.312808096408844,20.230714797973633,0.1918303221464157,0.6875526309013367,0.8986937403678894
7,0.4535962641239166,23.536518096923828,0.30613499879837036,0.5470971465110779,0.001,0.7172117233276367,0.13831010460853577,29.66364097595215,0.07527180761098862,0.8615005016326904,0.7403426170349121
8,0.5579628944396973,18.59478759765625,0.40167123079299927,0.4426208734512329,0.001,0.8460731506347656,0.4856715202331543,16.767536163330078,0.33156076073646545,0.5148738622665405,0.9685715436935425
9,0.6467171907424927,14.875617027282715,0.49213364720344543,0.35376113653182983,0.001,0.9155699014663696,0.5831277370452881,16.12516212463379,0.42245006561279297,0.41714155673980713,0.9245371222496033
10,0.7117955684661865,13.831870079040527,0.5652833580970764,0.2886260747909546,0.001,0.9333829879760742,0.6771144866943359,13.694234848022461,0.5205257534980774,0.3231499195098877,0.910139799118042
11,0.7663410902023315,12.518424987792969,0.6320508122444153,0.23396413028240204,0.001,0.9481987953186035,0.7269956469535828,12.903891563415527,0.5795400142669678,0.27324211597442627,0.9623321890830994
12,0.8095343112945557,11.368485450744629,0.6884888410568237,0.19074125587940216,0.001,0.9574480056762695,0.7699644565582275,13.394107818603516,0.6337131857872009,0.23026302456855774,0.9088952541351318
13,0.8373282551765442,11.199679374694824,0.7277745008468628,0.1629135012626648,0.001,0.9606575965881348,0.7832571268081665,13.16206169128418,0.652940571308136,0.21695612370967865,0.9581559896469116
14,0.8604487180709839,11.226081848144531,0.7609352469444275,0.1395198106765747,0.001,0.9602932333946228,0.744753897190094,19.503665924072266,0.6050304770469666,0.25548699498176575,0.7384193539619446
15,0.8794927000999451,11.018669128417969,0.7895703911781311,0.12066977471113205,0.001,0.9638137817382812,0.8460690975189209,11.42499828338623,0.7388729453086853,0.15412798523902893,0.959374189376831
16,0.8961513042449951,10.21042537689209,0.8158650398254395,0.10399043560028076,0.001,0.9676306843757629,0.8511316180229187,13.246088981628418,0.7466146945953369,0.14903424680233002,0.9615393280982971
17,0.9082546234130859,10.76341724395752,0.8348178863525391,0.09188583493232727,0.001,0.9658222198486328,0.8781043887138367,12.370808601379395,0.7862772345542908,0.12204005569219589,0.9366354942321777
18,0.9166709780693054,10.296506881713867,0.8486694097518921,0.08324097096920013,0.001,0.969805121421814,0.8748770952224731,13.134456634521484,0.7820218801498413,0.12524642050266266,0.937241792678833
19,0.9262840747833252,10.214876174926758,0.8647584915161133,0.07380951941013336,0.001,0.9684778451919556,0.8751692175865173,13.048674583435059,0.7838569283485413,0.12495757639408112,0.9529338479042053
20,0.9321505427360535,10.24754810333252,0.8746119737625122,0.06795098632574081,0.001,0.9692931175231934,0.9034202098846436,11.836792945861816,0.8266943693161011,0.09667474031448364,0.9451956748962402
21,0.9374521374702454,10.320406913757324,0.883931577205658,0.06262672692537308,0.001,0.9694772362709045,0.9032012224197388,12.263322830200195,0.8274776339530945,0.0969192311167717,0.9508410692214966
