epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.7059283256530762,0.6229311227798462,0.29407230019569397,0.01,0.6714987754821777,0.9140751957893372,0.936180055141449,0.8810967803001404,0.06382003426551819,0.9694230556488037,0.9299306869506836
1,0.9412670135498047,0.9004525542259216,0.058733053505420685,0.01,0.9546239972114563,0.9467573761940002,0.9639820456504822,0.9317092299461365,0.03601853549480438,0.95978182554245,0.9775515198707581
2,0.9587532877922058,0.9243804812431335,0.04124607890844345,0.01,0.964666485786438,0.9585721492767334,0.9582496881484985,0.9210166931152344,0.04175083339214325,0.9822545051574707,0.9437746405601501
3,0.9637153148651123,0.9323695302009583,0.03628401830792427,0.01,0.9672380685806274,0.9628691077232361,0.9707377552986145,0.9435637593269348,0.029262596741318703,0.9816962480545044,0.9635714888572693
4,0.9728686809539795,0.9478715658187866,0.027130790054798126,0.01,0.9752765893936157,0.9718170762062073,0.9486187100410461,0.9082144498825073,0.05138092115521431,0.9312414526939392,0.9717821478843689
5,0.9717860817909241,0.9461939930915833,0.02821388654410839,0.01,0.9736340045928955,0.9719764590263367,0.9723535180091858,0.9476058483123779,0.027646761387586594,0.9683157801628113,0.9804712533950806
6,0.9726820588111877,0.9476197361946106,0.02731851115822792,0.01,0.974500298500061,0.9728097319602966,0.9723957777023315,0.9470301270484924,0.027603697031736374,0.981076717376709,0.9668211340904236
7,0.9755867123603821,0.9526951313018799,0.02441355586051941,0.01,0.9774439334869385,0.9749820232391357,0.9676801562309265,0.9389441013336182,0.032319631427526474,0.9769190549850464,0.9621074795722961
8,0.9764198660850525,0.9542177319526672,0.02358025312423706,0.01,0.9782006144523621,0.9752760529518127,0.9707605242729187,0.9444142580032349,0.029239796102046967,0.9630071520805359,0.9841188192367554
9,0.976384699344635,0.95414799451828,0.023615973070263863,0.01,0.9773564338684082,0.9765592217445374,0.972709596157074,0.9475657343864441,0.027290120720863342,0.9778968095779419,0.9699119925498962
10,0.9771571755409241,0.9556452035903931,0.02284236252307892,0.01,0.9780926704406738,0.9773460626602173,0.9539234042167664,0.9132166504859924,0.04607705771923065,0.9820550084114075,0.9306091070175171
11,0.9783416986465454,0.9578011631965637,0.021657660603523254,0.01,0.979209303855896,0.9783622622489929,0.9648585915565491,0.9328116178512573,0.03514135628938675,0.9779183268547058,0.9536184072494507
12,0.9732435345649719,0.9490219950675964,0.026756426319479942,0.01,0.9761050343513489,0.9678794145584106,0.6992362141609192,0.5722993016242981,0.30076363682746887,0.48716291785240173,0.997927725315094
13,0.9746190309524536,0.9513535499572754,0.025380680337548256,0.01,0.9754972457885742,0.974749743938446,0.9713447093963623,0.9449662566184998,0.028655504807829857,0.9662479758262634,0.9796505570411682
14,0.9756803512573242,0.9528399109840393,0.024318736046552658,0.01,0.9770439267158508,0.9748961925506592,0.967674970626831,0.9389883875846863,0.03232504054903984,0.9798888564109802,0.9604558348655701
