epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.09137893468141556,0.047929808497428894,0.9086369872093201,0.001,0.20863918960094452,0.9807239174842834,0.044868964701890945,0.02295135334134102,0.9551591873168945,0.022966554388403893,1.0
1,0.09773025661706924,0.05142434686422348,0.9026225209236145,0.001,0.29934054613113403,0.9942940473556519,0.04018543288111687,0.020507827401161194,0.9598017334938049,0.01470292266458273,0.4255047142505646
2,0.10283497720956802,0.05425311625003815,0.89729243516922,0.001,0.36716577410697937,0.9982011318206787,0.03983036056160927,0.02032206766307354,0.9601819515228271,0.0,0.0
3,0.10878624767065048,0.057588398456573486,0.8916954398155212,0.001,0.3906601667404175,0.9992408156394958,0.03352952376008034,0.017052175477147102,0.9664763808250427,0.0,0.0
4,0.11458766460418701,0.060838427394628525,0.88543701171875,0.001,0.4334210753440857,0.9999829530715942,0.04007268324494362,0.020448623225092888,0.9599208235740662,0.0,0.0
5,0.12152189761400223,0.0647728219628334,0.8786951303482056,0.001,0.446826696395874,0.9999882578849792,0.03976546227931976,0.02028844691812992,0.9602223634719849,0.0,0.0
6,0.12584665417671204,0.06721147149801254,0.8746940493583679,0.000100000005,0.4580698311328888,0.999964714050293,0.052301906049251556,0.026860028505325317,0.9477112889289856,0.7252687215805054,0.15637236833572388
7,0.12573419511318207,0.06716130673885345,0.873994767665863,0.000100000005,0.46002137660980225,0.9999923706054688,0.10945180058479309,0.057906512171030045,0.8905918598175049,0.8414385318756104,0.8462566137313843
8,0.12659472227096558,0.06763773411512375,0.8732526302337646,0.000100000005,0.4615294933319092,0.99998939037323,0.12152416259050369,0.06470274180173874,0.8784402012825012,0.5990213751792908,0.9978700280189514
9,0.12767119705677032,0.06826509535312653,0.8725559711456299,0.000100000005,0.46250608563423157,0.9999923706054688,0.12084104865789413,0.06431648880243301,0.8791090846061707,0.4918726682662964,0.9999505281448364
10,0.1290232241153717,0.06903713941574097,0.8718079924583435,0.000100000005,0.4646344482898712,0.9999800324440002,0.1211099624633789,0.06447137147188187,0.8788275122642517,0.46407654881477356,0.9999649524688721
11,0.12915867567062378,0.06910672038793564,0.8711278438568115,0.000100000005,0.4494488835334778,0.999972939491272,0.12342745810747147,0.06578440219163895,0.8765897154808044,0.5168994665145874,0.9997938275337219
12,0.13021411001682281,0.06971856951713562,0.8703940510749817,0.000100000005,0.46761223673820496,0.999991774559021,0.12320100516080856,0.06565669178962708,0.876793384552002,0.47339892387390137,0.9999752640724182
13,0.13031570613384247,0.06976626068353653,0.869674801826477,0.000100000005,0.4713099002838135,0.9999882578849792,0.12328703701496124,0.06570997089147568,0.8767759203910828,0.4572855830192566,0.9999772906303406
14,0.13132083415985107,0.07034732401371002,0.8689610958099365,0.000100000005,0.4702799618244171,0.9999905824661255,0.1238940879702568,0.06604674458503723,0.8761058449745178,0.459371954202652,0.9999855756759644
15,0.13240991532802582,0.07099262624979019,0.8682635426521301,0.000100000005,0.471603125333786,0.9999653100967407,0.1236628070473671,0.06591567397117615,0.8763009309768677,0.42352667450904846,0.9999546408653259
16,0.13280905783176422,0.07119718194007874,0.8675320744514465,0.000100000005,0.467058002948761,0.9999529719352722,0.12378180772066116,0.06598944216966629,0.8761457204818726,0.41092032194137573,0.9999834895133972
17,0.13305118680000305,0.07134945690631866,0.8668185472488403,0.000100000005,0.47701478004455566,0.9999817609786987,0.12582199275493622,0.06714699417352676,0.8742050528526306,0.45776739716529846,0.9999690651893616
18,0.13432815670967102,0.07207755744457245,0.8660774827003479,0.000100000005,0.4765164256095886,0.999975323677063,0.12640830874443054,0.06748150289058685,0.8735980987548828,0.4573976695537567,0.9999649524688721
19,0.13534635305404663,0.07268548756837845,0.865372896194458,0.000100000005,0.4807855188846588,0.9999694228172302,0.12731581926345825,0.0679970383644104,0.8726879954338074,0.46551215648651123,0.9999608397483826
20,0.13529832661151886,0.07263772189617157,0.864658534526825,0.000100000005,0.46219682693481445,0.9999088644981384,0.1303621530532837,0.06973952054977417,0.8696690797805786,0.5591149926185608,0.9996309280395508
21,0.13621437549591064,0.07316970080137253,0.8638994693756104,0.000100000005,0.48271453380584717,0.9999846816062927,0.12995022535324097,0.06950122117996216,0.8699896931648254,0.5162437558174133,0.9999711513519287
22,0.1367531567811966,0.07347573339939117,0.8631500005722046,0.000100000005,0.4806147813796997,0.999981164932251,0.1294071078300476,0.06919839978218079,0.8706099987030029,0.4615769684314728,0.9999896883964539
23,0.1376815289258957,0.07400304824113846,0.8623920679092407,0.000100000005,0.48575636744499207,0.9999899864196777,0.1304873377084732,0.06981024891138077,0.8695578575134277,0.4785151481628418,0.9999772906303406
