epoch,dice_coef,hausdorff,iou,loss,lr,precision,recall,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision,val_recall
0,0.899272084236145,14.269204139709473,0.8563465476036072,0.10074248164892197,0.001,0.8292054533958435,0.9661403298377991,0.7150030732154846,26.18307876586914,0.5917418599128723,0.2851305603981018,0.9357554316520691,0.48577600717544556
1,0.9720991253852844,8.983960151672363,0.9460862874984741,0.02790054865181446,0.001,0.9741125702857971,0.9759323596954346,0.756511926651001,25.0656795501709,0.6392621397972107,0.24360401928424835,0.8924940228462219,0.5596952438354492
2,0.9736643433570862,8.667202949523926,0.9489859938621521,0.02633562870323658,0.001,0.9756955504417419,0.9774987101554871,0.8011190891265869,24.234228134155273,0.689597487449646,0.1989745944738388,0.9534969329833984,0.6109553575515747
3,0.9751808643341064,8.385058403015137,0.951721727848053,0.0248186606913805,0.001,0.9774503707885742,0.978722870349884,0.9258652925491333,17.396827697753906,0.8676128387451172,0.07416519522666931,0.9827231168746948,0.8418880105018616
4,0.9758393168449402,8.215387344360352,0.9529284238815308,0.024159837514162064,0.001,0.9782710075378418,0.9794535040855408,0.8869902491569519,19.170827865600586,0.8095007538795471,0.11305903643369675,0.9368830919265747,0.7951902151107788
5,0.9759321212768555,8.212228775024414,0.9531337022781372,0.02406742237508297,0.001,0.9781147837638855,0.979480504989624,0.8432108759880066,22.42571449279785,0.7453233003616333,0.1568593829870224,0.9408131837844849,0.6986109614372253
6,0.9764232635498047,8.057337760925293,0.9540492296218872,0.023576337844133377,0.001,0.9788752198219299,0.9798460006713867,0.6962000727653503,27.102783203125,0.5731760859489441,0.30395033955574036,0.9236316084861755,0.456734836101532
7,0.9762052893638611,8.082773208618164,0.9537716507911682,0.02379199117422104,0.001,0.9789779186248779,0.9790099263191223,0.924628496170044,15.660406112670898,0.8688648343086243,0.07540059834718704,0.9483424425125122,0.8766502141952515
8,0.9762575030326843,8.146714210510254,0.9537307620048523,0.023744065314531326,0.001,0.9784832000732422,0.9797160029411316,0.9656031727790833,11.565718650817871,0.9340316653251648,0.03440370783209801,0.9836694002151489,0.9404157400131226
9,0.9769622683525085,7.932441711425781,0.9550484418869019,0.023035459220409393,0.001,0.9793367981910706,0.9804434180259705,0.9713703989982605,10.070112228393555,0.9445590376853943,0.02863413468003273,0.9873422384262085,0.9511777758598328
10,0.9767558574676514,8.011873245239258,0.954675555229187,0.023241717368364334,0.001,0.979160726070404,0.9802740216255188,0.9486647248268127,13.65444564819336,0.9034150242805481,0.051352016627788544,0.9841943383216858,0.8958926796913147
11,0.9773015975952148,7.905571460723877,0.9556873440742493,0.02269495278596878,0.001,0.9798928499221802,0.9804045557975769,0.9744428396224976,9.472794532775879,0.9503030180931091,0.025557812303304672,0.9848496913909912,0.9618493318557739
12,0.9773156046867371,7.876315593719482,0.9557222127914429,0.022682612761855125,0.001,0.9799088835716248,0.9807091951370239,0.9481374621391296,14.601873397827148,0.9032908082008362,0.05187929421663284,0.9821953177452087,0.8958309292793274
13,0.9774963855743408,7.855034828186035,0.9560549259185791,0.022502759471535683,0.001,0.9799950122833252,0.9806122183799744,0.9765570163726807,8.84762954711914,0.954242467880249,0.023447535932064056,0.9905298352241516,0.96109539270401
14,0.977460503578186,7.880822658538818,0.9559911489486694,0.02253646031022072,0.001,0.9798923134803772,0.9806779026985168,0.9807014465332031,7.643093585968018,0.9621542692184448,0.019296441227197647,0.9872775077819824,0.9750558137893677
15,0.9777308702468872,7.784548759460449,0.9565049409866333,0.022266563028097153,0.001,0.9802436828613281,0.9809192419052124,0.9790222644805908,8.148658752441406,0.9589548110961914,0.020978379994630814,0.985553503036499,0.9737483263015747
16,0.9776790738105774,7.809382438659668,0.9564306735992432,0.022319253534078598,0.001,0.9802229404449463,0.9810477495193481,0.9220425486564636,16.987152099609375,0.859593391418457,0.07798919826745987,0.9872940182685852,0.8312666416168213
17,0.9776602983474731,7.832208633422852,0.9563696384429932,0.022338321432471275,0.001,0.9801762104034424,0.9808192849159241,0.9773764610290527,8.694790840148926,0.9558011293411255,0.0226222462952137,0.9907830357551575,0.9622867703437805
18,0.9779083132743835,7.767301082611084,0.9568411707878113,0.02208949625492096,0.001,0.98044353723526,0.9811018705368042,0.9760580062866211,9.184015274047852,0.9533154368400574,0.023946013301610947,0.9884842038154602,0.9614930152893066
