epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.280536413192749,0.16926328837871552,0.7194635272026062,1e-05,0.35046371817588806,0.9794554710388184,0.38178908824920654,0.23895369470119476,0.6182107925415039,0.8728650808334351,0.9832547903060913
1,0.42876559495925903,0.2765650153160095,0.5712347030639648,1e-05,0.9218400120735168,0.9935850501060486,0.4531744718551636,0.29684755206108093,0.5468255877494812,0.9418519139289856,0.9792876839637756
2,0.4890269935131073,0.32778361439704895,0.5109730362892151,1e-05,0.9438152313232422,0.9940319657325745,0.5067371726036072,0.3434927761554718,0.49326291680336,0.957251787185669,0.9803495407104492
3,0.5424684882164001,0.3767017126083374,0.45753151178359985,1e-05,0.9523249864578247,0.9924597144126892,0.5602062940597534,0.39329537749290466,0.43979379534721375,0.937291145324707,0.9890177845954895
4,0.5932251214981079,0.42648380994796753,0.40677496790885925,1e-05,0.9611966609954834,0.9926769733428955,0.6082388162612915,0.4420061409473419,0.39176085591316223,0.9712825417518616,0.9743615984916687
5,0.6406579613685608,0.4760977625846863,0.3593417704105377,1e-05,0.9662817120552063,0.9920080304145813,0.6559728980064392,0.49263495206832886,0.34402674436569214,0.9658194184303284,0.9845300316810608
6,0.6844819188117981,0.5251246690750122,0.31551820039749146,1e-05,0.9694823622703552,0.9912752509117126,0.6943649649620056,0.5362321138381958,0.3056354522705078,0.9698808193206787,0.9830619692802429
7,0.7253389358520508,0.5735614895820618,0.27466070652008057,1e-05,0.9739671349525452,0.990737795829773,0.7387855052947998,0.5900892615318298,0.2612142562866211,0.9726784825325012,0.980628490447998
8,0.7620567679405212,0.6197666525840759,0.23794247210025787,1e-05,0.9759870171546936,0.9904376268386841,0.7687208652496338,0.6284071803092957,0.23127903044223785,0.9802120327949524,0.9744837284088135
9,0.7944766879081726,0.6626937985420227,0.2055230289697647,1e-05,0.9785351753234863,0.9897096157073975,0.8023395538330078,0.6731942892074585,0.1976604014635086,0.9733983278274536,0.9829809665679932
10,0.8230847716331482,0.7025427222251892,0.1769152581691742,1e-05,0.9801888465881348,0.9896467328071594,0.829192578792572,0.7108056545257568,0.17080719769001007,0.9641625285148621,0.9883441925048828
11,0.8481937050819397,0.739091157913208,0.15180616080760956,1e-05,0.9821927547454834,0.9896324276924133,0.8511490821838379,0.7434282898902893,0.14885030686855316,0.9802652597427368,0.977293848991394
12,0.8698576092720032,0.7719065546989441,0.13014261424541473,1e-05,0.9834656119346619,0.9897763133049011,0.8686753511428833,0.7701826095581055,0.13132520020008087,0.9843770861625671,0.9711760878562927
13,0.8884575366973877,0.8011180758476257,0.11154170334339142,1e-05,0.9847850203514099,0.9897782206535339,0.8868244290351868,0.7983944416046143,0.11317527294158936,0.9774906039237976,0.9798392057418823
14,0.9043560028076172,0.8268635272979736,0.09564394503831863,1e-05,0.985607922077179,0.9898201823234558,0.9036142826080322,0.8254877924919128,0.0963863730430603,0.9766086935997009,0.9817095994949341
15,0.9179822206497192,0.8495396375656128,0.08201754838228226,1e-05,0.9864887595176697,0.9898945093154907,0.9137217998504639,0.8424212336540222,0.08627855032682419,0.9802071452140808,0.9769750237464905
16,0.9296801686286926,0.8694643974304199,0.07032045722007751,1e-05,0.9873561859130859,0.9899755120277405,0.9237368702888489,0.8594922423362732,0.0762626975774765,0.9796076416969299,0.9774378538131714
17,0.9394427537918091,0.8864912390708923,0.06055740639567375,1e-05,0.9880605340003967,0.9899030923843384,0.934380829334259,0.8776586055755615,0.06561913341283798,0.9784895181655884,0.9803096652030945
18,0.9478321671485901,0.9013623595237732,0.052168287336826324,1e-05,0.9884044528007507,0.9903814196586609,0.9345159530639648,0.8781993985176086,0.06548375636339188,0.9912573099136353,0.9593505263328552
